N	2gram	Bakhtin_Pr_4	NovoeSre
1	а не	11	17
2	не может	19	16
3	и в	46	16
4	и не	27	11
5	что в	4	9
6	жизни и	5	8
7	он не	4	8
8	в том	9	8
9	как и	12	7
10	в этом	16	7
11	может быть	23	7
12	с его	5	6
13	никогда не	6	6
14	не знает	4	6
15	не в	10	6
16	лишь в	2	6
17	но это	6	6
18	ни в	6	6
19	в нем	17	5
20	все это	6	5
21	в жизни	5	5
22	с ее	3	5
23	и к	9	5
24	не только	14	5
25	не менее	2	4
26	то что	4	4
27	это не	5	4
28	и все	9	4
29	не было	2	4
30	и для	3	4
31	должно быть	4	4
32	потому что	4	4
33	прежде всего	9	4
34	о том	5	4
35	к жизни	2	3
36	жизни не	2	3
37	но и	12	3
38	должна быть	2	3
39	в своей	3	3
40	с другой	3	3
41	вопрос о	2	3
42	человека и	3	3
43	в духе	2	3
44	во всех	5	3
45	и пр	2	3
46	к тому	2	3
47	что такое	2	3
48	в мире	3	3
49	смысле слова	2	3
50	конечно не	8	3
51	как в	4	3
52	она не	3	3
53	еще не	7	3
54	за пределы	5	3
55	сказать что	2	3
56	к ним	4	3
57	времени и	2	2
58	все время	2	2
59	себя в	3	2
60	у него	5	2
61	вместе с	2	2
62	но она	2	2
63	так и	4	2
64	для этого	2	2
65	мысли и	2	2
66	и т.п	14	2
67	другой стороны	3	2
68	а в	2	2
69	этом смысле	2	2
70	все эти	4	2
71	уже не	4	2
72	нет и	2	2
73	такой же	3	2
74	и даже	3	2
75	хотя бы	2	2
76	но не	4	2
77	так же	3	2
78	по существу	3	2
79	мы не	4	2
80	том что	4	2
81	можно было	2	2
82	есть в	6	2
83	же как	2	2
84	одна из	2	2
85	и с	7	2
86	и что	3	2
87	могут быть	2	2
88	с этим	2	2
89	и на	11	2
90	не к	3	2
91	в себе	7	2
92	ведь и	5	2
93	в то	5	2
94	и это	3	2
95	в центре	3	2
96	но для	3	2
97	не могли	2	2
98	хотя и	6	2
99	но в	6	2
