N	2gram	Propp_Morf_1	Formalny
1	т е	21	32
2	и не	12	30
3	вовсе не	4	28
4	и в	13	27
5	может быть	52	25
6	не может	14	24
7	так и	6	21
8	таким образом	21	18
9	в этом	14	18
10	а не	11	17
11	точки зрения	2	16
12	самом деле	4	16
13	и пр	37	15
14	то же	7	15
15	на самом	4	14
16	как и	3	14
17	с точки	2	14
18	не в	3	12
19	если бы	2	12
20	и т	41	11
21	но и	4	10
22	не могут	4	10
23	так как	16	9
24	не только	4	9
25	так же	3	9
26	что в	8	8
27	в пределах	3	8
28	как бы	3	8
29	то что	8	8
30	входит в	2	8
31	как мы	6	8
32	только в	2	8
33	не менее	5	7
34	в том	6	7
35	потому что	3	7
36	в то	3	7
37	его в	2	7
38	между тем	5	7
39	с тем	2	7
40	если мы	5	7
41	там где	5	7
42	с другой	8	6
43	всяком случае	2	6
44	т д	39	6
45	все эти	2	6
46	но в	2	6
47	что он	4	6
48	еще не	3	6
49	было бы	3	6
50	все же	7	6
51	хотя бы	4	6
52	и для	2	6
53	во всяком	2	6
54	и ее	3	6
55	независимо от	3	5
56	ни было	2	5
57	что они	2	5
58	совсем не	3	5
59	того чтобы	3	5
60	не является	3	5
61	и их	2	5
62	друг друга	3	5
63	другой стороны	4	5
64	в результате	7	5
65	большинстве случаев	3	5
66	но не	4	5
67	что же	2	5
68	тому как	5	5
69	тем что	4	5
70	связи с	10	5
71	если же	5	5
72	то ни	3	4
73	прежде всего	9	4
74	к тому	4	4
75	и как	5	4
76	в большинстве	3	4
77	для того	2	4
78	бы то	3	4
79	в целом	3	4
80	со стороны	3	4
81	в связи	9	4
82	о том	2	4
83	как это	3	4
84	мы можем	2	4
85	между собой	4	4
86	том что	4	4
87	она не	2	4
88	как в	3	4
89	мы не	8	4
90	могут быть	16	4
91	подобно тому	6	4
92	в этих	13	3
93	его и	2	3
94	тому что	4	3
95	в какой	3	3
96	это не	6	3
97	можно сказать	2	3
98	как таковой	2	3
99	для нас	2	3
100	совершается в	2	3
101	того что	3	3
102	и тем	2	3
103	по отношению	4	3
104	как таковая	2	3
105	и что	2	3
106	в которых	2	3
107	сказать что	2	3
108	ясно что	5	3
109	у нас	2	3
110	они и	3	3
111	во всех	4	3
112	оно не	2	3
113	отношению к	4	3
114	наука о	2	3
115	а и	3	3
116	уже не	2	3
117	героя в	4	3
118	не на	2	3
119	то мы	4	3
120	в основу	2	2
121	сам он	3	2
122	а на	3	2
123	главным образом	4	2
124	лишь с	2	2
125	является результатом	2	2
126	но это	6	2
127	в этой	2	2
128	на этом	3	2
129	в последнем	2	2
130	смысле слова	4	2
131	но для	2	2
132	но если	7	2
133	и др	10	2
134	учение о	3	2
135	он может	2	2
136	от других	2	2
137	из них	3	2
138	дело не	2	2
139	от того	3	2
140	что она	2	2
141	действующих лиц	11	2
142	создает новый	2	2
143	в россии	2	2
144	с его	2	2
145	однако в	2	2
146	к этому	3	2
147	говорить о	3	2
148	то в	3	2
149	одна из	4	2
150	мы увидим	8	2
151	мы должны	3	2
152	не от	2	2
153	или на	3	2
154	в сущности	3	2
155	но оно	2	2
156	не значит	2	2
157	что и	7	2
158	тем не	5	2
159	это и	2	2
160	как их	2	2
161	форма в	3	2
162	если они	2	2
163	в каком	2	2
164	ту же	2	2
165	и вне	3	2
166	без всякой	2	2
167	здесь не	2	2
168	ничего не	4	2
