N	2gram	Tiupa_Lite_3	Narrotol
1	не только	14	26
2	а не	12	17
3	представляет собой	2	16
4	но и	14	15
5	тогда как	17	15
6	в том	12	14
7	при этом	15	14
8	в качестве	5	14
9	и не	22	14
10	том что	8	13
11	и в	16	13
12	в этом	14	13
13	состоит в	6	12
14	такого рода	10	12
15	в частности	11	11
16	только в	7	11
17	может быть	12	10
18	в данном	4	10
19	своего рода	10	9
20	к тому	6	9
21	так и	9	9
22	а в	5	9
23	то есть	5	9
24	то что	12	8
25	в себе	6	8
26	в тексте	4	8
27	не может	8	8
28	не в	10	8
29	коммуникативного события	5	8
30	к себе	8	7
31	в рамках	4	6
32	никогда не	4	6
33	в жизни	8	6
34	прежде всего	3	6
35	можно сказать	2	6
36	и к	3	6
37	вслед за	3	6
38	того что	9	6
39	в его	6	6
40	и т.п	6	6
41	коммуникативное событие	4	6
42	данном случае	4	6
43	со стороны	7	6
44	жизни в	4	6
45	все же	2	6
46	как бы	8	6
47	а также	4	6
48	всего лишь	5	6
49	но в	3	6
50	место в	4	5
51	по мысли	6	5
52	точки зрения	7	5
53	себе самому	3	5
54	что он	5	5
55	одной стороны	4	5
56	хотя и	4	5
57	я не	2	5
58	и тем	3	5
59	в нем	2	5
60	отношению к	4	5
61	как в	5	5
62	по отношению	4	5
63	в отличие	5	5
64	с одной	4	5
65	тем самым	7	5
66	с другой	6	5
67	отличие от	5	5
68	в то	9	5
69	я в	7	5
70	далеко не	2	5
71	о том	6	5
72	не менее	2	4
73	если бы	2	4
74	отнюдь не	3	4
75	в глазах	3	4
76	в конце	2	4
77	же в	2	4
78	тому же	5	4
79	как и	5	4
80	как у	4	4
81	что в	2	4
82	для него	2	4
83	жизни и	3	4
84	в своей	7	4
85	в ее	5	4
86	то же	9	4
87	уже не	3	4
88	в мире	16	4
89	исходной ситуации	2	4
90	следует признать	2	4
91	в другом	6	4
92	в этой	8	4
93	как это	3	4
94	мира в	3	4
95	с его	6	3
96	по большей	2	3
97	это не	5	3
98	большей части	2	3
99	или иной	2	3
100	о которой	2	3
101	в соответствии	3	3
102	в слове	3	3
103	соответствии с	5	3
104	что я	5	3
105	но не	4	3
106	особое место	2	3
107	же время	7	3
108	и сам	2	3
109	как раз	2	3
110	той или	2	3
111	о нем	2	3
112	для себя	2	3
113	один из	2	3
114	в целом	5	3
115	внимание на	2	3
116	самом деле	3	3
117	того чтобы	2	3
118	и даже	2	3
119	и для	4	3
120	и его	6	3
121	с ними	2	3
122	самим собой	3	3
123	с этой	2	3
124	этом отношении	5	3
125	между тем	3	3
126	по своей	3	3
127	едва ли	3	3
128	мира и	2	3
129	в принципе	2	2
130	ивана иваныча	3	2
131	о чем	3	2
132	одно из	4	2
133	личности в	3	2
134	однако в	4	2
135	что у	2	2
136	и другого	2	2
137	в случае	2	2
138	вследствие этого	2	2
139	со своими	2	2
140	в свою	2	2
141	на то	2	2
142	но одновременно	2	2
143	в начале	4	2
144	и адресата	2	2
145	присутствия в	6	2
146	как о	2	2
147	еще не	6	2
148	было бы	2	2
149	со всеми	2	2
150	во второй	2	2
151	в самом	3	2
152	несмотря на	2	2
153	не могу	2	2
154	текста и	2	2
155	не вполне	2	2
156	однако не	3	2
157	оно не	2	2
158	что и	2	2
159	раз в	2	2
160	себя в	7	2
161	хх века	11	2
162	бытия в	2	2
163	теперь как	2	2
164	если не	2	2
165	именно в	5	2
166	у нас	2	2
167	быть может	2	2
168	с точки	3	2
169	так же	2	2
170	всякий раз	2	2
171	как на	3	2
172	той же	3	2
173	или иначе	2	2
174	тому как	3	2
175	не случайно	3	2
176	подобно тому	2	2
177	в своих	2	2
178	могли бы	2	2
179	здесь не	2	2
180	в каждой	2	2
181	потому что	3	2
182	в области	3	2
183	собственного я	2	2
