N	3gram	Berdyaev_O_1	Mirosoze
1	не может быть	2	17
2	о человеке и	5	6
3	человеке и его	2	5
4	записок из подполья	5	5
5	но и в	2	4
6	о великом инквизиторе	6	4
7	в творчестве его	3	4
8	в самой глубине	3	4
9	до самой глубины	3	4
10	дважды два четыре	3	4
11	а не в	2	4
12	у достоевского было	2	3
13	с тем что	2	3
14	человеческой природы в	2	3
15	загадка о человеке	2	3
16	в дневнике писателя	2	2
17	не могут быть	2	2
18	достоевский прежде всего	2	2
19	в этом он	2	2
20	пожелать себе даже	2	2
21	у достоевского с	2	2
22	все герои достоевского	4	2
23	и ивана карамазова	2	2
24	что человеку надо	2	2
25	единственно для того	2	2
26	в легенде о	3	2
27	к черту и	2	2
28	о человеческой природе	2	2
29	о человеке о	4	2
30	может быть человек	2	2
31	он не созерцает	2	2
32	легенде о великом	3	2
33	для того чтобы	3	2
