N	2gram	Ircho_Kome_2	Psycholo
1	в том	11	37
2	и в	26	32
3	и что	2	22
4	том что	9	21
5	то что	6	21
6	таким образом	6	21
7	потому что	6	21
8	что в	9	20
9	может быть	11	18
10	что и	7	17
11	не может	3	17
12	точки зрения	4	17
13	что она	2	16
14	того чтобы	6	14
15	что он	5	13
16	то же	3	13
17	для того	5	13
18	в этом	10	13
19	в самом	4	12
20	не только	7	12
21	с и	4	12
22	так как	4	12
23	с тем	5	11
24	было бы	8	11
25	как и	4	10
26	и т	2	10
27	но и	10	10
28	и не	14	10
29	как в	3	9
30	тем что	3	9
31	что это	4	8
32	не менее	4	8
33	не в	2	8
34	дело с	3	8
35	т п	2	8
36	той же	3	8
37	к тому	12	7
38	ясно что	8	7
39	мы знаем	3	7
40	можно было	4	7
41	и его	12	7
42	что для	4	7
43	как будто	4	7
44	только в	4	7
45	все время	2	6
46	в этой	3	6
47	тот же	2	6
48	он не	2	6
49	как бы	2	6
50	целый ряд	2	6
51	о том	6	6
52	если бы	9	6
53	отнюдь не	2	5
54	что у	4	5
55	что его	3	5
56	вслед за	2	5
57	в ней	3	5
58	до сих	2	5
59	сих пор	2	5
60	все это	3	5
61	и на	7	5
62	в то	6	5
63	столь же	9	4
64	от того	2	4
65	едва ли	14	4
66	с этой	3	4
67	что на	3	4
68	как это	4	4
69	а на	2	4
70	и сам	3	4
71	в действительности	2	4
72	из этого	2	4
73	в нем	6	4
74	все же	4	4
75	с той	2	4
76	из них	7	4
77	жизни и	3	4
78	наряду с	6	4
79	а в	3	4
80	и все	2	4
81	мы имеем	2	4
82	не имеет	3	4
83	и для	4	4
84	тому что	4	4
85	и с	5	4
86	с этим	5	4
87	в целом	4	4
88	и это	2	4
89	которые в	2	4
90	того как	3	4
91	и поэтому	3	4
92	между тем	4	4
93	по своему	2	3
94	в частности	4	3
95	хотя бы	2	3
96	с другой	2	3
97	в конце	2	3
98	представление о	2	3
99	представить себе	3	3
100	и к	2	3
101	об этом	2	3
102	так что	5	3
103	что именно	2	3
104	например в	3	3
105	в своей	3	3
106	на это	2	3
107	один из	5	3
108	то это	2	3
109	так и	12	3
110	во всех	3	3
111	и их	3	3
112	и ее	2	3
113	бы и	2	3
114	в их	3	3
115	на этом	2	3
116	еще более	2	3
117	время как	2	3
118	при всем	3	3
119	то время	3	3
120	действующих лиц	5	3
121	но в	3	3
122	мы не	2	3
123	в виду	2	3
124	это было	4	3
125	мы можем	3	3
126	из самых	2	2
127	место в	4	2
128	с его	5	2
129	больше того	4	2
130	в них	4	2
131	то ни	2	2
132	в какой	2	2
133	это не	2	2
134	и от	4	2
135	в одном	2	2
136	в каждом	3	2
137	во всяком	2	2
138	интерес к	3	2
139	и здесь	6	2
140	ни в	5	2
141	меньше всего	4	2
142	же время	3	2
143	еще не	6	2
144	но не	3	2
145	того же	3	2
146	из которых	3	2
147	вовсе не	2	2
148	к нему	3	2
149	только потому	2	2
150	в его	4	2
151	не вполне	2	2
152	всяком случае	2	2
153	если в	2	2
154	в ее	2	2
155	в руках	4	2
156	как он	3	2
157	бы то	2	2
158	в этих	4	2
159	отношение к	2	2
160	как не	2	2
161	для нас	3	2
162	вместе с	9	2
163	всех остальных	2	2
164	так в	2	2
165	не было	3	2
166	после того	2	2
167	роль в	2	2
168	мы находим	2	2
169	в самой	3	2
170	и у	2	2
171	на этот	4	2
172	в других	2	2
173	у того	2	2
174	отличие от	2	2
175	начинает с	2	2
176	философии и	2	2
177	ответ на	3	2
178	в которой	5	2
179	что по	2	2
