N	2gram	Tiupa_Hudo_1	Otkroven
1	о человеке	2	29
2	у него	9	22
3	и в	14	19
4	но и	5	13
5	и не	2	13
6	в этом	11	12
7	а не	12	11
8	не в	7	11
9	человека в	6	11
10	может быть	5	11
11	не только	12	11
12	и все	4	10
13	вопрос о	2	10
14	в нем	3	10
15	никогда не	6	9
16	не было	4	9
17	в человеке	2	9
18	потому что	5	9
19	прежде всего	11	9
20	и он	5	8
21	лишь в	3	7
22	но он	3	7
23	до конца	2	7
24	от него	3	7
25	нет ничего	2	7
26	он не	4	7
27	в его	8	7
28	все это	2	6
29	как и	9	6
30	то что	8	5
31	а в	7	5
32	в том	12	5
33	для него	10	5
34	в этой	8	5
35	в самом	4	5
36	в творчестве	3	5
37	с его	5	4
38	т е	4	4
39	того чтобы	3	4
40	что не	2	4
41	и его	5	4
42	все эти	3	4
43	не может	7	4
44	человеческих отношений	5	4
45	что в	6	4
46	в этих	5	3
47	это не	7	3
48	о природе	3	3
49	что он	9	3
50	того что	4	3
51	человека его	2	3
52	в своих	3	3
53	быть может	7	3
54	еще не	7	3
55	и от	4	3
56	в себе	11	3
57	было бы	6	3
58	в русской	4	3
59	о том	12	3
60	с ним	4	3
61	как бы	7	3
62	все же	3	2
63	и для	3	2
64	так и	13	2
65	жизни в	6	2
66	в своем	4	2
67	что у	3	2
68	что же	2	2
69	как к	3	2
70	все еще	2	2
71	по себе	2	2
72	и к	4	2
73	не имеет	2	2
74	должно быть	2	2
75	в ее	3	2
76	том что	16	2
77	так что	2	2
78	своей жизни	2	2
79	в другом	2	2
80	и на	3	2
81	и с	4	2
82	тем что	3	2
83	личности и	2	2
84	его героев	2	2
85	вместо того	2	2
86	его в	3	2
87	в своей	10	2
88	и о	4	2
89	к этой	3	2
90	ничего не	8	2
91	хотя и	2	2
92	но в	5	2
93	и потому	2	2
