N	2gram	Vygotskiy__3	Stilisti
1	и в	38	42
2	как бы	14	27
3	не только	12	27
4	хотя бы	2	17
5	но и	5	15
6	то же	10	15
7	и не	10	14
8	может быть	19	12
9	не может	7	12
10	точки зрения	16	11
11	как и	8	11
12	мы уже	7	11
13	и как	8	10
14	отнюдь не	2	10
15	как мы	7	10
16	в этом	13	10
17	при этом	4	9
18	в то	3	9
19	то что	35	9
20	для того	8	9
21	мы не	5	9
22	все же	8	8
23	в ней	15	8
24	таким образом	12	8
25	с тем	8	8
26	что же	2	8
27	эти слова	2	8
28	в себе	4	8
29	и это	8	8
30	никогда не	4	7
31	и тем	3	7
32	и на	6	7
33	потому что	14	7
34	так как	6	7
35	слов и	2	7
36	было бы	12	7
37	а не	7	7
38	того чтобы	9	7
39	и его	6	7
40	мы можем	7	7
41	только в	4	7
42	в которой	5	7
43	ничего не	2	7
44	не в	12	6
45	в этой	13	6
46	в свою	4	6
47	в конце	2	6
48	когда мы	2	6
49	в нем	4	6
50	во всех	4	6
51	тому что	6	5
52	своей жизни	2	5
53	и той	2	5
54	и следовательно	2	5
55	мы видели	6	5
56	а в	7	5
57	и наконец	2	5
58	же самое	10	5
59	как это	6	5
60	одно и	3	5
61	в его	5	5
62	вместе с	5	5
63	в той	5	5
64	с точки	9	5
65	той же	2	5
66	самого начала	6	4
67	все время	30	4
68	что это	10	4
69	не просто	2	4
70	что именно	2	4
71	к тому	6	4
72	с самого	6	4
73	свою очередь	2	4
74	в качестве	2	4
75	в самом	25	4
76	один из	6	4
77	все это	3	4
78	того что	4	4
79	так же	2	4
80	о том	6	4
81	его в	3	4
82	бы в	3	4
83	но в	3	4
84	если бы	14	4
85	были бы	3	4
86	и к	3	4
87	у нас	2	4
88	мы видим	12	4
89	не знаем	2	4
90	мы увидим	12	4
91	а с	2	4
92	если мы	6	4
93	к своему	2	4
94	уже не	2	4
95	самом деле	21	4
96	и то	8	4
97	то есть	15	4
98	на это	3	4
99	так сказать	5	4
100	как только	3	3
101	что у	7	3
102	перед нами	8	3
103	главным образом	3	3
104	для нас	8	3
105	здесь мы	4	3
106	но что	2	3
107	не мог	4	3
108	что всякое	2	3
109	в котором	6	3
110	и уже	2	3
111	в целом	4	3
112	не к	3	3
113	из них	6	3
114	что оно	2	3
115	и вот	2	3
116	и даже	4	3
117	не так	3	3
118	их в	2	3
119	сказать что	4	3
120	и здесь	6	3
121	та же	3	3
122	в виду	4	3
123	видели что	2	3
124	и все	10	3
125	в одном	8	3
126	если он	4	3
127	этого слова	2	3
128	в ее	7	3
129	том что	14	3
130	в тех	4	3
131	мы в	2	3
132	конечно не	4	3
133	так называемой	3	3
134	что и	4	3
135	отношения к	2	3
136	на самом	2	3
137	и для	4	3
138	место в	3	2
139	друг другу	2	2
140	в какой	5	2
141	можем не	2	2
142	в том	25	2
143	и конечно	3	2
144	уяснить себе	2	2
145	но это	3	2
146	из всего	2	2
147	больше и	3	2
148	очевидно что	2	2
149	для него	2	2
150	до конца	2	2
151	несмотря на	5	2
152	из двух	3	2
153	но мы	2	2
154	в этих	2	2
155	в первой	2	2
156	целый ряд	2	2
157	в нас	4	2
158	еще и	2	2
159	все эти	4	2
160	и больше	2	2
161	который мы	3	2
162	нам в	2	2
163	либо в	2	2
164	в которых	6	2
165	в своих	4	2
166	же самая	2	2
167	которые с	2	2
168	все то	7	2
169	что эти	4	2
170	в основе	3	2
171	для всех	2	2
172	смысле этого	2	2
173	между собой	2	2
174	с этим	8	2
175	к этому	3	2
176	ясно что	6	2
177	что он	11	2
178	видим что	8	2
179	представляет собой	2	2
180	по своему	4	2
181	разве не	2	2
182	тот же	3	2
183	мы говорили	3	2
184	и когда	5	2
185	вошел в	2	2
186	и этот	3	2
187	совершенно иначе	2	2
188	в своей	5	2
189	сих пор	5	2
190	как в	4	2
191	здесь не	3	2
192	бы не	3	2
193	все больше	2	2
194	должны были	2	2
195	одной и	2	2
196	мы найдем	2	2
197	из которых	4	2
198	к чему	6	2
199	с ним	2	2
200	у них	2	2
201	или в	5	2
202	тем что	3	2
203	это же	2	2
204	на возможность	2	2
205	заметить что	2	2
