N	2gram	Losev_Dial_4	Russkaja
1	не может	11	22
2	и не	30	19
3	в том	11	17
4	в этом	11	17
5	и в	15	14
6	то что	16	13
7	таким образом	5	11
8	то же	9	11
9	точки зрения	14	11
10	же время	6	10
11	но и	4	10
12	в то	6	10
13	том что	10	9
14	не только	8	9
15	в себе	8	9
16	с точки	9	9
17	может быть	17	9
18	во всяком	2	9
19	прежде всего	11	8
20	того чтобы	5	8
21	отнюдь не	4	7
22	и если	3	7
23	не будет	2	7
24	в данном	3	7
25	мы должны	4	7
26	о том	5	7
27	и с	4	7
28	если бы	6	6
29	что он	7	6
30	и при	2	6
31	с тем	4	6
32	для того	5	6
33	для всех	3	6
34	все это	9	6
35	в своем	5	6
36	и для	5	6
37	себя и	3	5
38	хотя бы	4	5
39	вопрос о	2	5
40	на то	5	5
41	и на	5	5
42	при этом	2	5
43	было бы	9	5
44	конечно не	2	5
45	в своей	3	5
46	никогда не	2	5
47	в нем	5	5
48	во всех	2	5
49	и только	2	5
50	из которых	3	5
51	потому что	10	5
52	только в	7	5
53	не могут	2	4
54	что в	7	4
55	то ни	4	4
56	тогда когда	5	4
57	как и	7	4
58	все что	2	4
59	как бы	14	4
60	себе и	2	4
61	все же	2	4
62	себя в	2	4
63	жизни и	4	4
64	вместе с	2	4
65	со стороны	3	4
66	от того	2	4
67	что же	2	4
68	в их	3	4
69	не в	8	4
70	возможно лишь	2	4
71	и то	3	4
72	в этой	4	4
73	во всем	2	4
74	в его	4	4
75	идет речь	4	4
76	так как	14	4
77	что это	13	3
78	именно в	5	3
79	из этих	2	3
80	что все	4	3
81	главным образом	2	3
82	при условии	2	3
83	да и	2	3
84	и как	4	3
85	то в	5	3
86	лишь в	2	3
87	что они	4	3
88	так чтобы	3	3
89	должно быть	2	3
90	в качестве	2	3
91	еще не	4	3
92	в самом	2	3
93	ни одна	2	3
94	одной из	2	3
95	той или	4	3
96	но если	5	3
97	и потому	3	3
98	для этого	2	3
99	но мы	2	3
100	что и	6	3
101	не есть	40	3
102	и т	17	3
103	из них	2	3
104	не было	2	3
105	что оно	7	3
106	того что	13	3
107	и по	2	3
108	или в	7	3
109	тем что	2	3
110	и во	2	3
111	в виде	3	3
112	говорить о	11	3
113	и ни	2	3
114	может только	2	3
115	только для	3	2
116	сама по	5	2
117	нисколько не	2	2
118	должна быть	7	2
119	и есть	19	2
120	в частности	2	2
121	в меру	5	2
122	с этим	3	2
123	точно так	2	2
124	вне всякой	2	2
125	ясно что	11	2
126	по себе	13	2
127	бы ни	2	2
128	будет ли	3	2
129	ни в	8	2
130	уже не	9	2
131	так что	6	2
132	это есть	13	2
133	но это	4	2
134	от него	3	2
135	есть и	3	2
136	что с	2	2
137	она не	4	2
138	совершенно не	3	2
139	этой личности	2	2
140	и о	8	2
141	но для	2	2
142	в ней	5	2
143	в котором	2	2
144	отношении к	2	2
145	для нее	2	2
146	и тем	6	2
147	быть и	3	2
148	ее в	2	2
149	сделать это	2	2
150	на основании	3	2
151	даже не	2	2
152	– не	5	2
153	и тогда	2	2
154	отношения к	3	2
155	в течение	4	2
156	все эти	3	2
157	не просто	7	2
158	и вот	11	2
159	и что	9	2
160	тем самым	3	2
161	а не	18	2
162	что такое	5	2
163	и наконец	3	2
164	и даже	6	2
165	так же	4	2
166	в результате	6	2
167	в силу	4	2
168	мы можем	3	2
169	не о	4	2
170	или от	22	2
171	даже и	3	2
172	мы уже	3	2
173	того или	2	2
174	ни от	2	2
175	как будто	2	2
176	с ним	3	2
177	в области	3	2
178	себя как	3	2
179	но в	3	2
180	это учение	2	2
