N	2gram	Ircho_Kome_3	Literetu
1	и не	21	22
2	и в	22	16
3	в мире	2	16
4	х годов	2	15
5	при этом	7	15
6	не только	5	14
7	но и	4	14
8	в этом	8	14
9	а не	4	12
10	то что	4	12
11	может быть	6	12
12	в том	12	12
13	в частности	3	11
14	не в	4	10
15	то же	7	9
16	так и	4	9
17	в то	6	9
18	том что	13	8
19	не может	3	8
20	к себе	5	8
21	в этой	3	8
22	как бы	3	8
23	в своей	5	7
24	же время	5	7
25	со стороны	11	7
26	точки зрения	4	7
27	с его	3	6
28	состоит в	2	6
29	с другой	4	6
30	к тому	6	6
31	еще не	6	6
32	в его	8	6
33	и его	6	6
34	в себе	4	6
35	в другом	2	6
36	о том	8	6
37	в качестве	2	5
38	это не	2	5
39	что он	8	5
40	в ее	3	5
41	тому же	6	5
42	как и	3	5
43	в целом	3	5
44	вместе с	9	5
45	как в	2	5
46	а в	7	5
47	этом отношении	2	5
48	всего лишь	2	5
49	в основе	2	5
50	отличие от	2	5
51	никогда не	3	4
52	однако в	4	4
53	по существу	2	4
54	перед лицом	2	4
55	до конца	4	4
56	одной стороны	3	4
57	и если	2	4
58	в начале	3	4
59	и для	4	4
60	одним из	2	4
61	хотя и	5	4
62	и ты	2	4
63	отношению к	3	4
64	из них	5	4
65	по отношению	5	4
66	с одной	3	4
67	а также	2	4
68	в одном	2	4
69	только для	2	3
70	все время	2	3
71	отнюдь не	4	3
72	все еще	2	3
73	прежде всего	5	3
74	в г	2	3
75	а затем	2	3
76	о чем	7	3
77	совершенно не	2	3
78	и к	3	3
79	на его	2	3
80	в самом	9	3
81	самом деле	6	3
82	с точки	3	3
83	в глазах	8	3
84	потому что	10	3
85	едва ли	7	3
86	как это	5	3
87	отношения к	2	3
88	в области	2	3
89	но в	5	3
90	между тем	2	3
91	ни было	2	2
92	что в	5	2
93	не менее	5	2
94	если бы	8	2
95	так или	2	2
96	то ни	3	2
97	с этой	3	2
98	не как	2	2
99	в конце	7	2
100	одного из	3	2
101	к этому	6	2
102	стороны и	2	2
103	на то	3	2
104	в нем	3	2
105	и ее	2	2
106	а по	5	2
107	раз в	2	2
108	в присутствии	2	2
109	связи с	5	2
110	что ему	2	2
111	а на	2	2
112	того же	6	2
113	в свою	7	2
114	было бы	3	2
115	и сам	5	2
116	что не	3	2
117	несмотря на	4	2
118	во всех	2	2
119	вплоть до	2	2
120	себя и	2	2
121	один из	3	2
122	не с	2	2
123	то это	5	2
124	что и	8	2
125	все же	4	2
126	бы то	2	2
127	отношение к	5	2
128	когда он	4	2
129	как мы	2	2
130	так же	4	2
131	как раз	6	2
132	если не	3	2
133	по собственному	3	2
134	человека в	2	2
135	из того	3	2
136	того чтобы	6	2
137	для того	6	2
138	о которой	2	2
139	другой стороны	2	2
140	и даже	3	2
141	или иначе	2	2
142	в своих	2	2
143	и на	2	2
144	я говорю	2	2
145	и с	4	2
146	тем что	5	2
147	далеко не	3	2
148	на себя	4	2
149	он и	2	2
150	представляет собой	3	2
151	за ним	2	2
152	не знает	3	2
153	же самое	3	2
154	его в	8	2
155	здесь не	2	2
