N	2gram	Berdyaev_M_2	Myslijsy
1	потому что	12	46
2	в том	3	32
3	и в	46	30
4	может быть	21	28
5	то же	5	23
6	не только	18	21
7	только в	3	21
8	но и	15	19
9	том что	4	18
10	то что	5	18
11	того что	6	18
12	что в	4	17
13	не есть	13	17
14	по себе	2	16
15	в себе	10	16
16	не в	9	15
17	и не	18	15
18	а не	13	15
19	что и	4	13
20	так как	8	13
21	вместе с	2	12
22	а в	2	12
23	если бы	3	12
24	есть уже	4	11
25	так и	4	11
26	как и	13	10
27	как в	7	10
28	и что	2	10
29	в этом	20	10
30	для него	18	9
31	в нем	22	9
32	между тем	2	9
33	тогда когда	2	9
34	в самом	5	8
35	от того	3	8
36	в ней	11	8
37	что не	2	8
38	к тому	5	7
39	так что	2	7
40	есть не	5	7
41	тем что	3	7
42	же что	2	6
43	что он	7	6
44	но это	8	6
45	те же	5	6
46	не может	15	6
47	уже не	4	6
48	не имеет	4	6
49	образ и	5	6
50	с ним	3	6
51	уже в	2	5
52	в них	3	5
53	думать что	4	5
54	человека и	7	5
55	в своем	8	5
56	мысль о	2	5
57	в действительности	2	5
58	отношению к	2	5
59	по отношению	2	5
60	должно быть	2	5
61	тому как	2	5
62	сказать что	3	5
63	сам по	2	5
64	к ней	2	5
65	на деле	4	5
66	что это	6	4
67	оно не	2	4
68	и от	3	4
69	одной и	2	4
70	все что	4	4
71	в его	5	4
72	себя и	3	4
73	один из	5	4
74	не к	2	4
75	бы не	2	4
76	и его	5	4
77	он не	10	4
78	не было	11	4
79	все равно	3	4
80	для того	5	4
81	для человека	3	4
82	того как	3	4
83	и это	5	4
84	и потому	7	4
85	место в	2	3
86	не существует	3	3
87	быть может	2	3
88	есть еще	2	3
89	в человеке	2	3
90	жизни не	2	3
91	и есть	8	3
92	тому что	4	3
93	прежде всего	12	3
94	и все	5	3
95	что все	5	3
96	в образе	3	3
97	я и	2	3
98	есть в	3	3
99	не будет	3	3
100	в свою	4	3
101	до сих	3	3
102	образа и	2	3
103	что она	5	3
104	как бы	8	3
105	человеческой жизни	2	3
106	и тогда	3	3
107	того чтобы	4	3
108	к нему	2	3
109	друг друга	12	3
110	так же	6	3
111	в каждом	3	3
112	и на	3	3
113	же и	2	3
114	самого себя	4	3
115	не знает	9	3
116	его в	3	3
117	в чем	3	3
118	в которой	2	3
119	сих пор	3	3
120	и та	2	2
121	такой степени	2	2
122	связи с	2	2
123	его с	2	2
124	та же	10	2
125	на все	3	2
126	не всегда	2	2
127	человек не	7	2
128	отношение к	8	2
129	идеи и	3	2
130	мы видим	2	2
131	в этой	7	2
132	что они	3	2
133	как ее	2	2
134	у него	22	2
135	она не	8	2
136	способен к	4	2
137	и тот	2	2
138	и если	2	2
139	что человек	2	2
140	на его	2	2
141	есть выражение	2	2
142	и той	2	2
143	но этот	2	2
144	почему не	2	2
145	с таким	2	2
146	с любовью	2	2
147	жизни и	6	2
148	в своей	5	2
149	что же	2	2
150	что есть	2	2
151	которое было	2	2
152	в разных	2	2
153	это и	3	2
154	к своему	2	2
155	той же	3	2
156	в мысли	2	2
157	ни в	3	2
158	от этого	2	2
159	людей и	3	2
160	природы в	2	2
161	точки зрения	2	2
162	подобно тому	2	2
163	то он	2	2
164	бы в	2	2
165	отношении к	3	2
166	о том	3	2
167	и самое	2	2
168	души и	2	2
169	нет ни	2	2
170	и с	3	2
