N	2gram	Bakhtin_Fr_3	Psycholo
1	и в	40	38
2	то что	5	35
3	в том	8	25
4	в самом	6	25
5	самом деле	3	21
6	что в	12	20
7	может быть	9	19
8	точки зрения	2	16
9	в ней	4	15
10	то есть	18	15
11	если бы	3	14
12	том что	4	14
13	как бы	3	14
14	потому что	2	14
15	в этой	3	13
16	в этом	15	13
17	мы видим	5	12
18	было бы	4	12
19	не только	13	12
20	мы увидим	2	12
21	таким образом	10	12
22	что он	2	11
23	в сущности	9	10
24	то же	7	10
25	и не	13	10
26	и все	9	10
27	того чтобы	4	9
28	все же	2	8
29	с этим	2	8
30	в одном	7	8
31	вовсе не	12	8
32	как и	11	8
33	и как	3	8
34	как раз	5	8
35	из этого	2	8
36	для того	3	8
37	и это	2	8
38	с другой	2	7
39	в ее	3	7
40	а не	5	7
41	никак не	3	7
42	не может	3	7
43	как мы	10	7
44	а в	3	7
45	между тем	3	7
46	мы уже	13	7
47	все то	2	7
48	из них	4	6
49	и здесь	4	6
50	мы видели	3	6
51	до сих	4	6
52	один из	4	6
53	и если	2	6
54	в котором	2	6
55	он не	9	6
56	так как	4	6
57	он говорит	6	6
58	и его	17	6
59	и на	8	6
60	о том	4	6
61	там где	3	6
62	в своем	7	5
63	на этом	2	5
64	в своей	6	5
65	вместе с	3	5
66	но и	11	5
67	сих пор	4	5
68	в той	6	5
69	мы не	2	5
70	в другом	3	5
71	в его	13	5
72	так сказать	5	5
73	в которой	2	5
74	при этом	3	4
75	и для	5	4
76	конечно не	2	4
77	во всех	6	4
78	в нем	5	4
79	что и	3	4
80	раз в	2	4
81	в целом	2	4
82	как в	3	4
83	в течение	2	4
84	все эти	8	4
85	здесь мы	2	4
86	и даже	4	4
87	в своих	5	4
88	сказать что	3	4
89	больше чем	2	4
90	у него	8	4
91	только в	3	4
92	одна из	3	4
93	в себе	3	4
94	в виду	7	4
95	ее не	2	3
96	в них	9	3
97	только для	3	3
98	из этих	2	3
99	к этому	6	3
100	и к	3	3
101	ни в	4	3
102	он был	3	3
103	но это	3	3
104	весь этот	3	3
105	того же	2	3
106	в один	2	3
107	и о	4	3
108	в основе	5	3
109	и этот	2	3
110	уже говорили	3	3
111	не к	2	3
112	все это	4	3
113	одновременно и	2	3
114	не так	3	3
115	из всех	4	3
116	тем что	3	3
117	далеко не	2	3
118	в то	6	3
119	здесь не	3	3
120	на тему	2	3
121	в плане	2	3
122	но в	8	3
123	к тем	2	3
124	одного из	2	2
125	в данном	4	2
126	всех этих	3	2
127	и другие	2	2
128	в этих	6	2
129	хотя бы	2	2
130	и во	4	2
131	на самом	3	2
132	и ее	2	2
133	очень часто	2	2
134	о мире	2	2
135	до конца	6	2
136	у нас	4	2
137	своей жизни	2	2
138	это есть	2	2
139	здесь в	4	2
140	для него	5	2
141	со всеми	5	2
142	они не	3	2
143	в первой	2	2
144	например в	2	2
145	но он	2	2
146	по преимуществу	2	2
147	и той	2	2
148	и очень	2	2
149	на их	2	2
150	от смерти	2	2
151	для этого	3	2
152	дело не	3	2
153	данном случае	2	2
154	вовсе нет	2	2
155	еще и	2	2
156	одной и	2	2
157	и вот	2	2
158	и наконец	3	2
159	думать что	2	2
160	той же	8	2
161	в конце	3	2
162	их в	3	2
163	он в	2	2
164	говорит он	2	2
165	и следовательно	3	2
166	одно из	3	2
167	но как	2	2
168	в истории	4	2
169	его к	2	2
170	этого слова	2	2
171	к этой	3	2
172	мы слышим	4	2
173	в эту	4	2
