N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	45
2	и не	18	15
3	не только	18	14
4	в этом	20	14
5	но в	10	14
6	в его	5	13
7	во всех	2	13
8	и его	5	13
9	как бы	8	12
10	что в	4	12
11	в своем	8	11
12	то же	5	11
13	прежде всего	12	10
14	в том	3	10
15	в нем	22	10
16	но и	15	10
17	как и	13	10
18	и с	3	10
19	в ней	11	8
20	жизни и	6	8
21	так же	6	8
22	с его	4	7
23	в конце	5	7
24	он был	9	7
25	том что	4	7
26	не в	9	7
27	что и	4	7
28	также и	4	7
29	потому что	12	7
30	и все	5	7
31	в атмосфере	2	6
32	что он	7	6
33	в этой	7	6
34	он не	10	6
35	так и	4	6
36	того чтобы	4	6
37	для того	5	6
38	связи с	2	6
39	так как	8	6
40	в них	3	6
41	есть и	3	5
42	с ним	3	5
43	и к	7	5
44	это и	3	5
45	мы видим	2	5
46	но это	8	5
47	на этом	2	5
48	хотя и	2	5
49	не может	15	5
50	свободу и	5	5
51	и на	3	5
52	его в	3	5
53	же как	3	4
54	и во	3	4
55	и от	3	4
56	у него	22	4
57	и здесь	6	4
58	ничего не	2	4
59	в самом	5	4
60	в сущности	2	4
61	не мог	3	4
62	а не	13	4
63	его не	2	4
64	а в	2	4
65	той же	3	4
66	можно было	2	4
67	сказать что	3	4
68	в основе	2	4
69	точки зрения	2	4
70	только в	3	4
71	о том	3	4
72	и это	5	4
73	бы в	2	4
74	свобода и	2	3
75	от его	2	3
76	как в	7	3
77	это не	5	3
78	мир и	2	3
79	в пределе	2	3
80	ни в	3	3
81	но на	2	3
82	есть в	3	3
83	для него	18	3
84	в своей	5	3
85	от того	3	3
86	до сих	3	3
87	вместе с	2	3
88	но она	2	3
89	сих пор	3	3
90	выйти из	2	3
91	что она	5	3
92	не было	11	3
93	и вот	5	3
94	жизни он	3	3
95	того что	6	3
96	и он	11	3
97	менее всего	3	3
98	не имеет	4	3
99	и для	7	3
100	но он	11	3
101	но этот	2	3
102	как он	3	3
103	народа и	4	2
104	он хочет	3	2
105	и там	6	2
106	и есть	8	2
107	и та	2	2
108	мы еще	2	2
109	себя и	3	2
110	жизни в	3	2
111	жизни она	2	2
112	превращается в	2	2
113	хотя бы	7	2
114	переходит в	8	2
115	что все	5	2
116	в духе	5	2
117	на все	3	2
118	к тому	5	2
119	в отношении	5	2
120	то что	5	2
121	как ее	2	2
122	и она	3	2
123	они и	4	2
124	нельзя было	2	2
125	свою правду	2	2
126	что это	6	2
127	и если	2	2
128	к ней	2	2
129	может быть	21	2
130	мира сего	3	2
131	в церкви	2	2
132	еще в	2	2
133	один из	5	2
134	должен быть	4	2
135	в каждом	3	2
136	и за	2	2
137	чем не	2	2
138	но эта	2	2
139	чтобы не	3	2
140	свободы и	4	2
141	лишь в	2	2
142	и что	2	2
143	к нему	2	2
144	жизнь и	4	2
145	к самым	2	2
146	нас в	2	2
147	между тем	2	2
148	он в	3	2
149	духа в	2	2
150	в чем	3	2
151	нет ни	2	2
152	от этого	2	2
