N	2gram	Nazirov_Tv_1	Stilisti
1	и в	21	42
2	как бы	17	27
3	не только	7	27
4	прежде всего	4	22
5	хотя бы	5	17
6	но и	3	15
7	то же	13	15
8	и не	7	14
9	может быть	5	12
10	не может	4	12
11	как и	12	11
12	и как	4	10
13	отнюдь не	5	10
14	в этом	6	10
15	при этом	7	9
16	в то	15	9
17	то что	8	9
18	все же	5	8
19	в ней	2	8
20	таким образом	5	8
21	тем самым	7	8
22	эти слова	2	8
23	в себе	2	8
24	никогда не	3	7
25	и от	4	7
26	же время	12	7
27	и тем	2	7
28	и на	7	7
29	потому что	5	7
30	так как	3	7
31	с его	11	7
32	а не	5	7
33	и его	6	7
34	только в	5	7
35	в которой	3	7
36	не в	2	6
37	в этой	5	6
38	в свою	7	6
39	на его	3	6
40	в нем	3	6
41	так и	2	6
42	уже в	3	5
43	а в	6	5
44	и с	3	5
45	и наконец	2	5
46	в его	13	5
47	вместе с	2	5
48	той же	3	5
49	самого начала	3	4
50	в каждом	3	4
51	можно сказать	2	4
52	к тому	2	4
53	влияние на	2	4
54	с самого	3	4
55	было в	2	4
56	в качестве	2	4
57	в самом	3	4
58	один из	4	4
59	все это	10	4
60	того что	3	4
61	так же	3	4
62	о том	6	4
63	но в	7	4
64	не существует	3	4
65	уже не	3	4
66	самом деле	2	4
67	то есть	12	4
68	так сказать	2	4
69	перед нами	2	3
70	это не	4	3
71	здесь мы	2	3
72	не мог	2	3
73	хотя и	3	3
74	в котором	6	3
75	в целом	4	3
76	из них	2	3
77	жизни и	3	3
78	во второй	2	3
79	и даже	3	3
80	не так	3	3
81	сказать что	2	3
82	ни на	3	3
83	та же	4	3
84	в виду	2	3
85	и все	6	3
86	об этом	2	3
87	том что	11	3
88	что и	2	3
89	не будет	2	3
90	только на	2	3
91	вряд ли	2	3
92	на самом	3	3
93	не знает	2	3
94	место в	3	2
95	быть может	2	2
96	зависит от	2	2
97	в частности	2	2
98	человека и	4	2
99	человека в	6	2
100	не нужно	2	2
101	в мире	4	2
102	в том	7	2
103	но это	5	2
104	иными словами	2	2
105	времени и	4	2
106	для него	6	2
107	до конца	2	2
108	в него	2	2
109	на эти	2	2
110	в этих	2	2
111	в первой	2	2
112	в своих	5	2
113	же самая	2	2
114	человека с	2	2
115	я и	3	2
116	в жизни	2	2
117	в основе	2	2
118	однако в	2	2
119	к этому	2	2
120	что он	6	2
121	есть не	2	2
122	самое время	2	2
123	представляет собой	3	2
124	но не	3	2
125	тот же	2	2
126	одной из	4	2
127	и когда	2	2
128	гораздо более	2	2
129	в своей	4	2
130	как в	8	2
131	и он	2	2
132	в дальнейшем	3	2
133	с ним	3	2
134	или в	2	2
135	в движении	2	2
136	действительной жизни	3	2
