N	3gram	Tiupa_Disk_2	Analitik
1	о блудном сыне	3	11
2	ивана петровича белкина	2	8
3	в повестях белкина	2	7
4	в том что	6	7
5	по отношению к	4	7
6	о том что	3	5
7	как и в	5	4
8	и того же	2	3
9	то же время	5	3
10	одного и того	2	3
11	в данном случае	6	3
12	в этом отношении	4	3
13	той или иной	3	3
14	в сочетании с	2	3
15	в то же	4	3
16	в русской литературе	2	3
17	однако при этом	2	2
18	в отличие от	12	2
19	притчи о блудном	2	2
20	героем притчи о	2	2
21	я в мире	2	2
22	не более чем	2	2
23	в свое время	2	2
24	или из барышни-крестьянки	2	2
25	дело в том	2	2
26	с точки зрения	2	2
27	и прежде всего	2	2
28	подобно тому как	2	2
29	с одной стороны	4	2
