N	2gram	Potebnia_M_4	Tragedij
1	и в	23	18
2	в этом	23	9
3	не только	10	8
4	и не	18	7
5	и на	3	7
6	и с	4	7
7	может быть	26	7
8	как бы	5	7
9	в образе	2	6
10	что он	4	6
11	и его	2	6
12	же время	3	6
13	но в	8	6
14	что это	7	5
15	так и	6	5
16	это не	7	5
17	не может	11	5
18	то же	14	5
19	как и	14	5
20	в то	4	5
21	но и	11	4
22	то что	29	4
23	что в	17	4
24	все это	5	4
25	я не	2	4
26	и все	4	4
27	в нем	7	4
28	и даже	2	4
29	так же	4	4
30	том что	12	4
31	но это	3	4
32	что я	11	4
33	и что	7	4
34	в себе	14	4
35	еще не	3	4
36	этот образ	2	4
37	об этом	2	4
38	уже в	5	3
39	один из	2	3
40	в своем	8	3
41	никто не	2	3
42	как в	7	3
43	все эти	3	3
44	тем самым	4	3
45	и как	2	3
46	к нему	5	3
47	должно быть	5	3
48	в его	5	3
49	для него	5	3
50	при этом	15	3
51	в мире	2	3
52	с ним	5	3
53	то есть	34	3
54	не имеет	5	2
55	и до	3	2
56	не могут	2	2
57	что и	7	2
58	а что	2	2
59	как же	4	2
60	данном случае	2	2
61	то и	4	2
62	что все	4	2
63	и я	2	2
64	а как	2	2
65	вопрос о	2	2
66	если б	4	2
67	но эта	2	2
68	уже не	3	2
69	бы и	5	2
70	отношение к	2	2
71	к тому	3	2
72	столь же	2	2
73	не так	2	2
74	и здесь	2	2
75	в ее	2	2
76	в том	23	2
77	друг друга	2	2
78	так что	5	2
79	в таком	4	2
80	не в	11	2
81	в глазах	2	2
82	точно так	2	2
83	в данном	4	2
84	и то	5	2
85	потому что	33	2
86	в первом	3	2
87	с тем	7	2
88	тем что	10	2
89	в виде	2	2
90	только о	2	2
91	было в	3	2
92	по поводу	4	2
93	в это	2	2
94	о том	8	2
95	его в	4	2
96	что эти	3	2
97	и это	2	2
98	в самом	3	2
99	во сне	2	2
100	он не	2	2
101	в одном	4	2
102	что она	2	2
103	никогда не	3	2
104	одном из	2	2
105	имеет в	2	2
