N	2gram	Vinokur_St_1	Problema
1	и в	44	30
2	в своей	6	22
3	то есть	2	21
4	то что	18	18
5	не только	18	18
6	том что	29	17
7	в этом	21	17
8	и даже	5	14
9	но и	10	13
10	таким образом	7	13
11	потому что	6	13
12	в том	36	12
13	в его	9	12
14	и не	16	12
15	а именно	3	12
16	также и	9	12
17	о том	17	12
18	в своем	2	11
19	у него	2	11
20	так что	6	11
21	в виде	3	10
22	для нас	7	10
23	точки зрения	11	10
24	в этой	11	10
25	все же	8	9
26	сказать что	7	9
27	но в	10	9
28	и вообще	3	9
29	только в	10	9
30	и все	2	9
31	в конце	3	8
32	вовсе не	19	8
33	с точки	8	8
34	никогда не	5	7
35	что он	10	7
36	у нас	11	7
37	как и	9	7
38	но не	3	7
39	может быть	15	7
40	так и	9	7
41	говорит о	3	7
42	мы находим	4	7
43	не в	12	7
44	в результате	3	7
45	с другой	9	6
46	прежде всего	7	6
47	несмотря на	2	6
48	и для	3	6
49	как бы	4	6
50	в нем	5	6
51	что и	6	6
52	другой стороны	7	6
53	и что	4	6
54	а в	17	6
55	и его	8	6
56	можно найти	2	6
57	его в	2	6
58	при помощи	2	6
59	так как	5	6
60	не менее	5	5
61	нисколько не	2	5
62	что в	30	5
63	что у	4	5
64	в которой	4	5
65	будто бы	3	5
66	тем не	2	5
67	так же	5	5
68	в самом	7	5
69	и их	2	5
70	для себя	3	5
71	не может	8	5
72	а не	16	5
73	и у	2	5
74	что этот	2	5
75	и то	5	5
76	но он	2	5
77	как раз	4	5
78	и с	3	5
79	если не	2	4
80	еще и	2	4
81	в частности	4	4
82	как о	2	4
83	по крайней	2	4
84	ни в	3	4
85	ясно что	10	4
86	об этом	3	4
87	но все	4	4
88	при этом	2	4
89	того же	3	4
90	было бы	17	4
91	и сам	2	4
92	в качестве	4	4
93	за что	4	4
94	крайней мере	2	4
95	гораздо более	4	4
96	а с	3	4
97	xix в	5	4
98	и вполне	3	4
99	даже и	2	4
100	в себе	2	4
101	в то	9	4
102	что от	2	3
103	именно в	6	3
104	еще более	4	3
105	в отношении	9	3
106	не всегда	2	3
107	о котором	2	3
108	все в	2	3
109	в ее	4	3
110	в начале	3	3
111	что они	7	3
112	совсем не	2	3
113	то время	2	3
114	как будто	4	3
115	еще не	3	3
116	одной стороны	2	3
117	для того	10	3
118	он не	2	3
119	а также	2	3
120	и тем	3	3
121	бы не	2	3
122	с одной	3	3
123	того что	9	3
124	в эпоху	2	3
125	тем же	3	3
126	к нему	2	3
127	есть только	2	3
128	внимание на	3	3
129	в других	2	3
130	время как	2	3
131	от этого	2	3
132	в ней	3	3
133	что касается	3	3
134	в другом	3	3
135	я не	7	2
136	и более	2	2
137	по словам	4	2
138	по этому	3	2
139	и без	3	2
140	том числе	2	2
141	в какой	3	2
142	хотя бы	6	2
143	как в	13	2
144	это не	8	2
145	во втором	4	2
146	с этой	3	2
147	уже в	2	2
148	за то	3	2
149	не все	3	2
150	представление о	4	2
151	была бы	5	2
152	представляет собою	2	2
153	на то	4	2
154	во времена	4	2
155	то же	5	2
156	он был	3	2
157	без всякого	2	2
158	да и	3	2
159	раз в	2	2
160	ли не	2	2
161	по существу	2	2
162	что здесь	2	2
163	до сих	7	2
164	со всеми	2	2
165	по поводу	7	2
166	находим и	2	2
167	жизни и	5	2
168	в данном	14	2
169	что не	3	2
170	мы имеем	2	2
171	такого рода	2	2
172	в комментарии	2	2
173	при его	2	2
174	конечно не	2	2
175	но для	2	2
176	гораздо больше	2	2
177	всяком случае	6	2
178	в котором	5	2
179	отношению к	3	2
180	из них	8	2
181	в первой	12	2
182	и за	3	2
183	на него	2	2
184	данном случае	6	2
185	и речи	2	2
186	и тогда	2	2
187	отношение к	2	2
188	по отношению	3	2
189	этому поводу	2	2
190	и только	3	2
191	по мнению	3	2
192	или же	2	2
193	все эти	5	2
194	мы не	2	2
195	самом деле	11	2
196	того чтобы	11	2
197	свидетельствует о	2	2
198	в таком	3	2
199	по его	2	2
200	можно было	13	2
201	жил в	2	2
202	во всяком	6	2
203	больше чем	2	2
204	между тем	3	2
205	тем что	5	2
206	в м	2	2
207	мере в	2	2
208	и сейчас	4	2
209	обстоятельство что	3	2
210	по своей	2	2
211	дело в	6	2
212	есть в	2	2
213	ли в	2	2
214	в чем	3	2
215	в области	14	2
216	ничего не	2	2
217	сих пор	7	2
