N	2gram	Losev_Vlad_3	KFilosof
1	может быть	8	43
2	в его	14	39
3	в нем	3	31
4	не может	14	27
5	и не	25	26
6	и в	40	22
7	в котором	4	21
8	в себе	9	21
9	не есть	10	19
10	а не	8	17
11	и его	10	17
12	только в	13	16
13	точки зрения	13	13
14	в этом	16	13
15	ни в	10	12
16	для него	8	12
17	но не	4	12
18	и это	6	12
19	все эти	5	11
20	в своей	9	11
21	не в	3	11
22	к нему	3	11
23	в своем	8	10
24	это не	3	10
25	с точки	6	10
26	в целом	2	9
27	но и	18	9
28	в их	2	9
29	как бы	3	9
30	и все	4	9
31	бытия и	2	9
32	и для	3	9
33	не было	5	8
34	если бы	3	8
35	было бы	4	8
36	со стороны	2	8
37	и здесь	6	7
38	во всем	6	7
39	вовсе не	13	7
40	что и	7	7
41	то что	28	7
42	я не	3	6
43	в смысле	6	6
44	в том	18	6
45	но это	6	6
46	и только	3	6
47	в мире	2	6
48	отнюдь не	5	6
49	совершенно не	2	6
50	он не	8	6
51	уже не	9	6
52	никогда не	11	5
53	хотя бы	6	5
54	то же	4	5
55	но все	3	5
56	именно в	3	5
57	не имеет	4	5
58	должно быть	5	5
59	но как	2	5
60	его в	2	5
61	но в	4	5
62	как и	7	5
63	не только	25	5
64	для себя	5	5
65	все же	4	5
66	мы имеем	3	5
67	что в	17	4
68	для нас	5	4
69	при этом	3	4
70	в своих	7	4
71	могло бы	2	4
72	в одном	5	4
73	нисколько не	3	4
74	не как	2	4
75	быть в	2	4
76	том что	18	4
77	а в	7	4
78	тем самым	2	4
79	в каком	4	4
80	в чем	3	4
81	бы и	4	3
82	независимо от	3	3
83	должна быть	2	3
84	что это	9	3
85	не менее	9	3
86	до конца	4	3
87	в виду	3	3
88	себе и	2	3
89	был бы	3	3
90	здесь нет	2	3
91	и тем	3	3
92	от того	4	3
93	того что	7	3
94	поскольку он	4	3
95	и на	6	3
96	в ней	5	3
97	в то	7	3
98	о том	11	3
99	и ни	2	3
100	мы не	2	3
101	этом смысле	3	3
102	еще не	4	3
103	и этот	2	3
104	быть и	2	3
105	но можно	2	3
106	на самом	3	3
107	всех своих	2	3
108	для того	2	3
109	только с	2	3
110	что этот	3	3
111	тем что	5	3
112	в другом	2	3
113	здесь не	3	3
114	ничего не	5	3
115	а с	4	2
116	можно ли	2	2
117	бытие и	3	2
118	философии в	2	2
119	то ни	3	2
120	прежде всего	10	2
121	вопрос о	4	2
122	тем не	10	2
123	и как	7	2
124	это есть	10	2
125	совсем не	5	2
126	же время	2	2
127	и само	2	2
128	в теоретической	2	2
129	он ни	2	2
130	но для	3	2
131	не о	2	2
132	познания в	2	2
133	по себе	6	2
134	тому что	4	2
135	что есть	3	2
136	содержания и	2	2
137	за свое	2	2
138	на первом	3	2
139	философии но	4	2
140	потому что	11	2
141	той или	2	2
142	ни к	2	2
143	с его	2	2
144	и то	9	2
145	с тем	7	2
146	что эта	2	2
147	раз и	8	2
148	в жизни	2	2
149	к этому	2	2
150	что он	5	2
151	при условии	2	2
152	философии жизни	3	2
153	не будет	6	2
154	бы то	3	2
155	в качестве	3	2
156	не нужно	2	2
157	в это	2	2
158	и потому	10	2
159	оно не	3	2
160	так и	6	2
161	в виде	13	2
162	если не	6	2
163	сводится к	3	2
164	того чтобы	3	2
165	и эта	3	2
166	жизнь и	3	2
167	в данном	5	2
168	от этого	2	2
169	всей своей	2	2
170	в этой	8	2
171	ничего общего	5	2
172	первом плане	3	2
173	дело в	5	2
174	или как	4	2
175	едва ли	11	2
176	же с	7	2
