N	3gram	Vinokur_Vv_1	StatiiOP
1	в том что	12	11
2	и т п	5	6
3	не может быть	8	5
4	с другой стороны	5	4
5	по крайней мере	4	4
6	в этом отношении	3	4
7	во всяком случае	3	4
8	с точки зрения	2	4
9	в этом смысле	10	4
10	о том что	12	4
11	в конце концов	2	3
12	то же время	5	3
13	в связи с	2	3
14	состоит в том	2	3
15	в начале xix	2	3
16	в то же	5	3
17	не только в	4	3
18	не в том	2	3
19	с тем что	3	3
20	и тем не	3	2
21	по этому поводу	2	2
22	но все же	3	2
23	и в этом	3	2
24	до сих пор	5	2
25	в том чтобы	5	2
26	и т д	37	2
27	с одной стороны	4	2
28	тем не менее	8	2
29	заключается в том	3	2
30	потому что он	2	2
