N	2gram	Vygotskiy__7	OGranits
1	и в	26	13
2	и его	12	12
3	прежде всего	7	9
4	не может	11	8
5	и не	18	8
6	может быть	7	8
7	и их	5	7
8	точки зрения	28	7
9	в его	4	7
10	таким образом	23	6
11	не только	24	6
12	то что	24	6
13	только в	8	6
14	мы должны	6	6
15	как бы	6	6
16	все же	6	5
17	с точки	21	5
18	и наконец	4	5
19	в процессе	5	5
20	то же	8	4
21	не является	3	4
22	но мы	3	4
23	в своей	3	4
24	вопроса о	2	4
25	все это	3	4
26	только и	3	4
27	лишь в	2	4
28	мы не	7	4
29	мы можем	3	4
30	слов и	2	4
31	было бы	6	4
32	в сознании	6	4
33	но в	4	4
34	связана с	3	3
35	отношению к	5	3
36	что в	12	3
37	никогда не	4	3
38	но и	11	3
39	так и	3	3
40	что же	2	3
41	в их	2	3
42	по отношению	6	3
43	точку зрения	2	3
44	самом деле	6	3
45	в ее	6	3
46	как и	15	3
47	не в	4	3
48	в которой	11	3
49	и то	7	3
50	одно и	3	3
51	в себе	9	3
52	с этим	2	3
53	и для	5	3
54	так как	14	3
55	но для	2	3
56	не менее	4	2
57	для себя	24	2
58	уже в	2	2
59	с этой	5	2
60	самого начала	7	2
61	и тем	6	2
62	в нем	2	2
63	ее в	8	2
64	и наиболее	2	2
65	во всей	2	2
66	в целом	5	2
67	который мы	2	2
68	данном случае	5	2
69	а не	6	2
70	что эта	6	2
71	в этот	3	2
72	в отношении	2	2
73	отношений между	3	2
74	с другой	4	2
75	она является	2	2
76	не чем	2	2
77	входит в	2	2
78	а в	2	2
79	речи не	5	2
80	с одной	5	2
81	все эти	6	2
82	вовсе не	2	2
83	есть не	3	2
84	с самого	7	2
85	иным как	2	2
86	к тому	7	2
87	и к	7	2
88	как в	4	2
89	если бы	5	2
90	в чем	3	2
91	не имеет	2	2
92	в том	18	2
93	наконец в	2	2
94	так же	14	2
95	не мог	2	2
96	том что	17	2
97	мы видим	3	2
98	с помощью	13	2
99	в своих	2	2
100	в данном	5	2
101	что они	10	2
102	в этом	29	2
103	учение о	3	2
104	тем что	9	2
105	и следовательно	5	2
106	могут быть	2	2
107	нуждается в	3	2
108	и ее	2	2
109	для него	3	2
110	форм и	2	2
111	во всем	3	2
112	одной стороны	5	2
113	в действительности	2	2
114	несмотря на	2	2
115	мы уже	3	2
116	разрыв между	2	2
117	слова и	10	2
118	в области	4	2
119	в самом	9	2
120	мог бы	3	2
121	и при	2	2
122	имеет место	4	2
123	которое мы	2	2
124	бы в	5	2
125	в ней	3	2
126	чем иным	2	2
127	и является	3	2
