N	2gram	Ircho_Kome_3	Hudozhes
1	в мире	2	23
2	в качестве	2	19
3	состоит в	2	16
4	и не	21	16
5	в том	12	15
6	и в	22	15
7	не только	5	15
8	в частности	3	13
9	может быть	6	13
10	при этом	7	12
11	а в	7	12
12	и его	6	12
13	в этом	8	11
14	в себе	4	11
15	представляет собой	3	10
16	как бы	3	10
17	отношению к	3	10
18	но и	4	10
19	так и	4	10
20	по отношению	5	10
21	то же	7	10
22	а не	4	10
23	в его	8	9
24	точки зрения	4	9
25	с другой	4	7
26	в то	6	7
27	отличие от	2	7
28	но в	5	7
29	в основе	2	6
30	с его	3	6
31	что в	5	6
32	в ее	3	6
33	том что	13	6
34	не в	4	6
35	же время	5	6
36	отношение к	5	6
37	приводит к	3	6
38	не может	3	6
39	а также	2	5
40	ни в	10	5
41	в самом	9	5
42	в нем	3	5
43	то что	4	5
44	между ними	2	5
45	другой стороны	2	5
46	в их	2	5
47	а на	2	4
48	прежде всего	5	4
49	к тому	6	4
50	в другом	2	4
51	еще не	6	4
52	хотя и	5	4
53	он не	5	4
54	в своей	5	4
55	со стороны	11	4
56	отношения к	2	4
57	между тем	2	4
58	говорить о	3	4
59	не знает	3	4
60	как это	5	4
61	не менее	5	3
62	если бы	8	3
63	однако в	4	3
64	конечном счете	2	3
65	в отношении	4	3
66	это не	2	3
67	что он	8	3
68	и к	3	3
69	тем не	3	3
70	в пределах	2	3
71	по своему	3	3
72	перед лицом	2	3
73	того же	6	3
74	в свою	7	3
75	о чем	7	3
76	как раз	6	3
77	в конечном	2	3
78	далеко не	3	3
79	к нему	5	3
80	не будет	2	3
81	в целом	3	3
82	таким образом	12	3
83	как и	3	3
84	и что	6	3
85	с точки	3	3
86	и для	4	3
87	в таком	2	3
88	их в	3	3
89	потому что	10	3
90	и ее	2	3
91	его в	8	3
92	всего лишь	2	3
93	в которой	3	3
94	в области	2	3
95	в виду	2	3
96	речь идет	5	2
97	себя и	2	2
98	так или	2	2
99	тому что	2	2
100	в своем	8	2
101	в них	3	2
102	и особенно	2	2
103	не как	2	2
104	в комедии	10	2
105	в одном	2	2
106	человека и	2	2
107	вовсе не	4	2
108	для понимания	2	2
109	роль в	2	2
110	при всей	2	2
111	к своему	2	2
112	об этом	7	2
113	о его	2	2
114	идет о	3	2
115	тем более	4	2
116	свою очередь	6	2
117	в глаза	3	2
118	одной стороны	3	2
119	и сам	5	2
120	несмотря на	4	2
121	за пределы	2	2
122	во всех	2	2
123	и о	2	2
124	одной из	3	2
125	за пределами	2	2
126	дома и	3	2
127	не является	4	2
128	дело не	2	2
129	как в	2	2
130	могло быть	2	2
131	здесь не	2	2
132	с одной	3	2
133	того чтобы	6	2
134	для того	6	2
135	из которых	2	2
136	так же	4	2
137	либо в	4	2
138	с ним	5	2
139	или иначе	2	2
140	с другими	2	2
141	и на	2	2
142	в силу	2	2
143	нового времени	2	2
144	в отсутствие	3	2
145	у него	4	2
146	известной степени	2	2
147	в этой	3	2
148	о том	8	2
149	и это	2	2
150	из этого	2	2
151	бы не	2	2
