N	2gram	Tiupa_Hudo_2	Istorich
1	и т	4	27
2	и в	28	26
3	т д	2	24
4	т е	2	18
5	так же	3	18
6	то что	6	16
7	не только	11	15
8	что в	5	14
9	может быть	8	14
10	же как	2	13
11	но и	9	12
12	что он	8	10
13	так и	8	10
14	и его	5	10
15	что и	4	9
16	все же	2	9
17	и не	18	9
18	его в	2	9
19	мы знаем	2	8
20	то же	6	8
21	а в	6	8
22	в этих	3	7
23	превращается в	4	7
24	об этом	7	7
25	как и	11	7
26	в качестве	4	7
27	он не	4	7
28	как в	5	7
29	в этом	13	7
30	что они	4	6
31	еще не	3	6
32	вместе с	2	6
33	не может	4	6
34	а не	14	6
35	к нему	3	6
36	и то	2	6
37	потому что	2	6
38	как он	3	6
39	у него	5	5
40	это не	6	5
41	в одном	3	5
42	но не	4	5
43	и только	2	5
44	ничего не	5	5
45	в его	11	5
46	и у	2	5
47	мы уже	3	5
48	до сих	2	5
49	сих пор	2	5
50	как мы	2	5
51	уже не	10	5
52	не в	13	5
53	с ними	3	5
54	и с	6	5
55	тем что	6	5
56	в другом	2	5
57	но в	2	5
58	с собой	2	5
59	с другой	3	4
60	на себя	3	4
61	вовсе не	2	4
62	а по	2	4
63	все что	3	4
64	этот мотив	2	4
65	в своей	6	4
66	здесь не	2	4
67	тогда как	7	4
68	того как	2	4
69	о том	12	4
70	перед нами	11	3
71	что у	3	3
72	из этих	2	3
73	к себе	3	3
74	для нас	3	3
75	в том	15	3
76	том что	19	3
77	при этом	11	3
78	от своего	2	3
79	она не	5	3
80	и другие	5	3
81	как бы	5	3
82	а также	2	3
83	и он	3	3
84	наряду с	5	3
85	на него	3	3
86	данном случае	2	3
87	что она	7	3
88	как это	7	3
89	те же	2	3
90	между ними	2	3
91	или в	3	3
92	в данном	2	3
93	только в	4	3
94	с того	2	3
95	о чем	8	3
96	мы читаем	2	2
97	не менее	5	2
98	это уже	2	2
99	никогда не	5	2
100	однако в	2	2
101	его и	2	2
102	в своем	5	2
103	и все	7	2
104	а как	2	2
105	тем не	4	2
106	говорит о	4	2
107	что я	2	2
108	одна из	2	2
109	на этом	2	2
110	у нее	10	2
111	есть и	3	2
112	было бы	3	2
113	том как	2	2
114	если бы	6	2
115	знает и	2	2
116	о двух	2	2
117	ему в	2	2
118	в частности	7	2
119	он уже	2	2
120	в роли	2	2
121	что на	3	2
122	хотя бы	2	2
123	в нем	3	2
124	себя в	8	2
125	отношение к	2	2
126	из них	2	2
127	не по	2	2
128	дело не	2	2
129	в тексте	5	2
130	от которого	2	2
131	все это	3	2
132	что это	5	2
133	в других	4	2
134	лишь в	2	2
135	по его	3	2
136	и на	3	2
137	не случайно	10	2
138	сказать что	2	2
139	в виде	2	2
140	в себе	9	2
141	же самое	3	2
142	в этой	5	2
