N	2gram	Nazirov_Tr_1	Problema
1	и в	18	44
2	и не	7	35
3	то есть	3	34
4	может быть	7	28
5	потому что	2	25
6	не просто	2	23
7	то что	4	23
8	в том	2	21
9	в этом	9	17
10	и даже	4	14
11	не только	8	14
12	и то	2	14
13	не в	2	13
14	то же	5	13
15	так что	2	12
16	но в	6	12
17	том что	4	12
18	но и	4	10
19	отнюдь не	3	10
20	как и	5	10
21	так и	5	10
22	это не	5	9
23	в нем	4	9
24	не имеет	2	9
25	и с	7	9
26	как бы	7	9
27	что он	6	9
28	в то	5	9
29	в его	3	9
30	что и	2	9
31	в данном	2	9
32	и это	2	9
33	перед нами	2	8
34	что в	4	8
35	ни в	2	8
36	но это	4	8
37	он не	2	8
38	в себе	4	8
39	данном случае	2	7
40	не может	5	7
41	уже не	2	7
42	все эти	3	7
43	и что	4	7
44	с ним	3	7
45	никогда не	2	6
46	в целом	4	6
47	о том	2	6
48	все же	5	6
49	в виде	2	6
50	состоит из	2	5
51	в конце	3	5
52	с тем	2	5
53	и сам	3	5
54	все это	4	5
55	то и	2	5
56	в своем	3	5
57	и здесь	2	5
58	в таком	2	5
59	еще не	4	5
60	как в	3	5
61	так же	4	5
62	тем самым	3	5
63	и его	6	5
64	он сам	7	4
65	при этом	3	4
66	раз и	2	4
67	в ее	2	4
68	тут же	2	4
69	тем что	2	4
70	уже в	3	3
71	что это	5	3
72	это уже	2	3
73	только о	2	3
74	точно так	2	3
75	прежде всего	4	3
76	к тому	2	3
77	и как	3	3
78	но все	2	3
79	в этой	4	3
80	для него	3	3
81	в самом	2	3
82	но эта	2	3
83	не так	2	3
84	его в	2	3
85	об этом	4	3
86	и все	4	3
87	с первого	2	3
88	отличие от	2	3
89	и ее	2	3
90	как будто	3	3
91	ничего не	2	3
92	не был	2	2
93	в частности	2	2
94	никто не	3	2
95	что все	2	2
96	в известной	2	2
97	по поводу	2	2
98	о чем	3	2
99	с ее	3	2
100	и за	2	2
101	и до	2	2
102	по мнению	2	2
103	друг друга	2	2
104	он и	2	2
105	как это	3	2
106	а как	2	2
107	о его	2	2
108	чем он	2	2
109	только к	2	2
110	в отличие	2	2
111	даже если	2	2
112	жизнь и	3	2
113	пусть мы	2	2
114	который в	2	2
115	ничем не	2	2
