N	2gram	Nazirov_Vr_1	Morfolog
1	может быть	4	52
2	таким образом	2	20
3	не может	2	17
4	т е	3	16
5	и в	8	13
6	в этом	8	13
7	связи с	3	11
8	в связи	3	9
9	то же	5	9
10	и не	5	9
11	при помощи	2	8
12	все же	6	7
13	это не	4	6
14	в том	3	6
15	а также	2	6
16	а в	2	6
17	во время	2	6
18	не менее	2	5
19	этот момент	2	5
20	наряду с	3	5
21	далеко не	3	5
22	как бы	4	5
23	то что	7	5
24	что в	7	4
25	и как	3	4
26	об этом	5	4
27	несмотря на	4	4
28	не только	9	4
29	так же	4	4
30	как и	6	4
31	тем что	3	4
32	точки зрения	2	4
33	с точки	2	4
34	его в	3	4
35	в начале	6	3
36	же в	2	3
37	том что	3	3
38	но это	2	3
39	он не	3	3
40	но и	7	3
41	целый ряд	4	3
42	из них	2	3
43	и ее	2	3
44	в то	5	3
45	но в	6	3
46	его и	2	2
47	к этому	3	2
48	что он	4	2
49	на первый	2	2
50	в в	2	2
51	для него	2	2
52	а с	2	2
53	и что	8	2
54	к себе	2	2
55	уже не	2	2
56	и его	3	2
57	о том	4	2
58	одна из	2	2
