N	3gram	Tiupa_Hudo_1	Narrotol
1	в том что	7	8
2	с одной стороны	2	7
3	в том числе	2	6
4	по отношению к	9	6
5	в отличие от	7	5
6	не может быть	3	5
7	можно сказать что	3	4
8	той или иной	4	4
9	с другой стороны	5	4
10	то же время	5	3
11	состоит в том	5	3
12	в свою очередь	2	3
13	в то же	5	3
14	ни в мире	3	3
15	тем не менее	3	3
16	так или иначе	3	2
17	значении этого слова	2	2
18	вокруг я героя	2	2
19	и в форме	2	2
20	присутствия в мире	6	2
21	индивидуального речевого замысла	2	2
22	мы имеем дело	2	2
23	в той или	2	2
24	так и не	4	2
25	кто говорит и	2	2
26	не сводится к	5	2
27	более или менее	5	2
28	в конечном счете	5	2
29	с точки зрения	3	2
30	того или иного	3	2
