N	3gram	Vygotskiy__3	Freidism
1	по отношению к	2	8
2	во всяком случае	4	7
3	не может быть	2	7
4	как мы видели	3	4
5	в зависимости от	5	4
6	как мы уже	2	4
7	с самого начала	6	3
8	в свою очередь	2	3
9	с помощью которых	7	3
10	в собственном смысле	6	3
11	и той же	2	3
12	одной и той	2	3
13	для того чтобы	7	3
14	с помощью которой	2	2
15	с помощью которого	2	2
16	так и в	2	2
17	с одной стороны	5	2
18	а с другой	3	2
19	тем не менее	5	2
20	мы видели что	3	2
21	в отличие от	6	2
22	в этом отношении	3	2
23	в высшей степени	6	2
