N	2gram	Tiupa_Narr_2	Morfolog
1	может быть	10	52
2	и т	2	49
3	таким образом	5	20
4	представляет собой	16	17
5	не может	8	17
6	и в	13	13
7	в этом	13	13
8	действующих лиц	3	13
9	перед нами	4	11
10	представляют собой	2	10
11	прежде всего	6	9
12	так и	9	9
13	то же	4	9
14	и не	14	9
15	а не	17	9
16	мы имеем	3	9
17	с другой	5	8
18	что и	2	8
19	в результате	2	8
20	в качестве	14	7
21	все же	6	7
22	это не	3	6
23	и здесь	2	6
24	в том	14	6
25	но не	3	6
26	а также	6	6
27	в форме	5	6
28	а в	9	6
29	во время	2	6
30	подобно тому	2	6
31	не менее	4	5
32	тому как	2	5
33	вслед за	6	5
34	далеко не	5	5
35	как бы	6	5
36	не все	2	5
37	один из	3	5
38	то что	8	5
39	потому что	2	5
40	мы не	2	5
41	что в	4	4
42	вовсе не	2	4
43	героя в	6	4
44	об этом	4	4
45	тем не	5	4
46	отношению к	5	4
47	было бы	2	4
48	несмотря на	2	4
49	не только	26	4
50	как в	5	4
51	так же	2	4
52	по отношению	5	4
53	как и	4	4
54	хотя и	5	4
55	точки зрения	5	4
56	с точки	2	4
57	видно что	2	4
58	ничего не	6	4
59	в других	2	4
60	только что	2	3
61	если бы	4	3
62	а то	2	3
63	в нашем	2	3
64	между собой	3	3
65	в начале	2	3
66	в какой	4	3
67	о герое	3	3
68	же в	4	3
69	том что	13	3
70	но это	2	3
71	что они	3	3
72	в целом	3	3
73	того чтобы	3	3
74	не происходит	2	3
75	он не	5	3
76	не является	4	3
77	но и	15	3
78	на него	5	3
79	на самом	2	3
80	самом деле	3	3
81	и по	3	3
82	и для	3	3
83	можно назвать	2	3
84	в то	5	3
85	героя и	2	3
86	но в	6	3
87	и более	2	2
88	в виде	2	2
89	в частности	11	2
90	однако в	2	2
91	хотя бы	2	2
92	а во	2	2
93	точно так	2	2
94	состоит в	12	2
95	как уже	2	2
96	что он	5	2
97	можно сказать	6	2
98	и к	6	2
99	только в	11	2
100	мальчик и	3	2
101	для него	4	2
102	одной стороны	5	2
103	у нее	4	2
104	во сне	2	2
105	но для	2	2
106	в обоих	2	2
107	оно не	2	2
108	себя в	2	2
109	за которым	2	2
110	а с	2	2
111	с одной	5	2
112	все эти	3	2
113	и что	2	2
114	к себе	7	2
115	того что	6	2
116	уже не	4	2
117	не имеет	2	2
118	и его	3	2
119	можно было	2	2
120	в другом	4	2
121	о том	5	2
122	здесь не	2	2
123	одна из	3	2
124	сказать что	3	2
125	как это	4	2
