N	2gram	Bakhtin_Fr_4	Problema
1	и в	29	44
2	вовсе не	9	37
3	и не	16	35
4	то есть	21	34
5	может быть	2	28
6	то что	4	23
7	в том	7	21
8	только в	2	19
9	в этом	11	17
10	также и	4	16
11	сказать что	5	16
12	даже и	2	16
13	и даже	3	14
14	не только	10	14
15	и то	2	14
16	то же	10	13
17	но в	12	12
18	том что	3	12
19	но и	9	10
20	в виду	2	10
21	как и	12	10
22	так и	11	10
23	это не	5	9
24	в нем	5	9
25	и с	9	9
26	как бы	8	9
27	так как	7	9
28	что он	4	9
29	в то	10	9
30	в его	8	9
31	и это	2	9
32	таким образом	20	9
33	перед нами	4	8
34	ни в	2	8
35	того что	3	8
36	но это	4	8
37	он не	3	8
38	как раз	2	8
39	как мы	10	8
40	в себе	3	8
41	связи с	2	8
42	здесь не	3	8
43	с другой	4	7
44	не может	2	7
45	уже не	2	7
46	еще и	7	7
47	все эти	9	7
48	здесь только	2	7
49	с ним	2	7
50	это и	5	7
51	на самом	4	7
52	никогда не	2	6
53	другими словами	2	6
54	жизни и	4	6
55	но только	2	6
56	нет ничего	2	6
57	и к	2	6
58	о том	2	6
59	все же	3	6
60	мы можем	3	6
61	в нашем	4	5
62	в конце	9	5
63	да и	2	5
64	что они	2	5
65	и сам	3	5
66	и есть	4	5
67	хотя и	2	5
68	в ней	3	5
69	другой стороны	3	5
70	все это	4	5
71	в своем	3	5
72	и вполне	3	5
73	точки зрения	4	5
74	и здесь	3	5
75	что здесь	3	5
76	еще не	4	5
77	и о	5	5
78	в своей	5	5
79	как в	2	5
80	так же	7	5
81	и его	8	5
82	имеется в	3	4
83	при этом	3	4
84	ни с	2	4
85	всякого рода	2	4
86	же деле	2	4
87	же и	3	4
88	но как	3	4
89	на первый	2	4
90	самом же	2	4
91	то время	2	4
92	мы уже	10	4
93	а также	2	4
94	в ее	3	4
95	в чем	3	4
96	или в	2	4
97	тем что	4	4
98	дело в	2	4
99	уже в	2	3
100	и другие	2	3
101	что это	5	3
102	формы и	2	3
103	что у	3	3
104	прежде всего	8	3
105	к тому	2	3
106	подобного рода	2	3
107	и как	3	3
108	в этой	13	3
109	кроме того	2	3
110	здесь и	3	3
111	образов и	2	3
112	его в	9	3
113	конце концов	4	3
114	то в	3	3
115	но не	2	3
116	в качестве	3	3
117	здесь в	6	3
118	но оно	2	3
119	из этого	2	3
120	и все	13	3
121	в той	2	3
122	это же	2	3
123	как будто	2	3
124	если же	2	3
125	есть в	2	3
126	вот это	3	2
127	время и	2	2
128	именно в	2	2
129	в частности	3	2
130	в этих	2	2
131	все они	5	2
132	того же	5	2
133	не столько	2	2
134	это значение	2	2
135	всех этих	3	2
136	в известной	3	2
137	о чем	2	2
138	в котором	2	2
139	с ее	3	2
140	из них	6	2
141	и за	3	2
142	и до	5	2
143	образом и	3	2
144	в их	2	2
145	за счет	3	2
146	с одной	2	2
147	дает нам	2	2
148	и по	5	2
149	друг друга	2	2
150	как на	2	2
151	в результате	4	2
152	в основе	2	2
153	он и	5	2
154	поэтому и	5	2
155	а как	2	2
156	это в	2	2
157	на котором	2	2
158	то он	2	2
159	о его	2	2
160	мы видели	7	2
161	и при	2	2
162	по своему	4	2
163	есть и	4	2
164	между прочим	2	2
165	в слове	2	2
166	себя в	2	2
167	жизнь и	4	2
168	этих образов	2	2
169	и у	2	2
170	и для	2	2
171	с точки	2	2
172	у них	3	2
173	в которой	4	2
174	же не	2	2
