N	2gram	Propp_Isto_2	Hudozhes
1	в качестве	3	19
2	состоит в	2	16
3	и не	11	16
4	в том	6	15
5	и в	15	15
6	не только	18	15
7	может быть	17	13
8	при этом	4	12
9	а в	12	12
10	и его	3	12
11	но не	2	11
12	в этом	11	11
13	в себе	4	11
14	представляет собой	5	10
15	как бы	6	10
16	отношению к	3	10
17	но и	14	10
18	так и	5	10
19	по отношению	3	10
20	то же	10	10
21	а не	5	10
22	в его	6	9
23	с другой	2	7
24	но в	6	7
25	что в	12	6
26	том что	7	6
27	не в	7	6
28	приводит к	2	6
29	не может	5	6
30	могут быть	2	5
31	а также	2	5
32	ни в	2	5
33	только в	6	5
34	тем самым	2	5
35	того что	3	5
36	в нем	7	5
37	с ее	2	5
38	то что	12	5
39	другой стороны	2	5
40	в их	3	5
41	в этих	11	4
42	не столько	2	4
43	прежде всего	5	4
44	к тому	5	4
45	в другом	9	4
46	еще не	9	4
47	например в	2	4
48	он не	8	4
49	и то	2	4
50	сказать что	2	4
51	мы имеем	15	4
52	не знает	2	4
53	как это	3	4
54	к которому	5	4
55	он должен	2	3
56	это не	2	3
57	что он	24	3
58	мог бы	3	3
59	к нему	5	3
60	так в	3	3
61	таким образом	7	3
62	как и	2	3
63	и что	6	3
64	и для	2	3
65	их в	2	3
66	потому что	9	3
67	но он	4	3
68	и ее	2	3
69	в русской	5	3
70	его в	10	3
71	в которой	2	3
72	в виду	2	3
73	слова в	2	2
74	я не	2	2
75	и более	2	2
76	себя и	2	2
77	превращается в	2	2
78	в одном	5	2
79	роль в	3	2
80	об этом	11	2
81	о его	2	2
82	одна из	2	2
83	в глаза	2	2
84	могла бы	2	2
85	одной стороны	3	2
86	говорит что	3	2
87	во всех	2	2
88	одной из	4	2
89	не все	2	2
90	и др	4	2
91	принадлежит к	2	2
92	дело не	4	2
93	как в	5	2
94	а именно	3	2
95	здесь не	2	2
96	а с	2	2
97	с одной	4	2
98	именно в	2	2
99	все эти	4	2
100	в себя	3	2
101	того чтобы	2	2
102	и по	2	2
103	или в	2	2
104	так же	13	2
105	право на	3	2
106	в иной	5	2
107	с другими	2	2
108	и на	4	2
109	в силу	2	2
110	у него	4	2
111	одно из	2	2
112	в этой	4	2
113	о том	3	2
114	и это	3	2
