N	2gram	Bakhtin_Pr_5	Sovremen
1	не может	18	17
2	точки зрения	7	12
3	может быть	14	12
4	таким образом	7	11
5	в каждом	6	8
6	в этом	14	7
7	и в	35	7
8	и не	27	6
9	как и	18	6
10	мы можем	2	6
11	ничего не	3	6
12	что же	7	5
13	прежде всего	12	5
14	все эти	3	5
15	и наконец	7	5
16	с точки	2	5
17	как бы	31	4
18	нет и	4	4
19	мы видели	2	4
20	в целом	3	4
21	вместе с	2	4
22	это не	3	4
23	а в	7	4
24	вопрос о	2	4
25	не только	10	4
26	в том	5	4
27	в дальнейшем	2	4
28	их в	2	4
29	из них	3	4
30	мы должны	3	4
31	так как	4	4
32	уже в	3	3
33	самого начала	8	3
34	все же	8	3
35	все это	14	3
36	в конце	5	3
37	то же	15	3
38	в нем	16	3
39	а не	4	3
40	и к	12	3
41	с самого	8	3
42	не в	10	3
43	еще не	7	3
44	он в	4	3
45	при этом	2	3
46	было бы	3	3
47	и т.д	3	3
48	в одном	6	3
49	и все	15	3
50	как он	2	3
51	в первом	2	3
52	в себе	5	3
53	но в	19	3
54	так сказать	2	2
55	этих двух	2	2
56	что это	4	2
57	не менее	2	2
58	в виде	7	2
59	для его	2	2
60	у него	4	2
61	быть и	2	2
62	приводит к	2	2
63	и во	3	2
64	в отличие	2	2
65	что все	2	2
66	как мы	8	2
67	уже не	3	2
68	или иной	4	2
69	самом деле	10	2
70	и что	6	2
71	мы с	2	2
72	на этот	2	2
73	и даже	5	2
74	и по	2	2
75	мы знаем	2	2
76	той же	2	2
77	конечно в	2	2
78	то ни	3	2
79	только так	2	2
80	но все	4	2
81	такой же	3	2
82	во всяком	4	2
83	на этом	2	2
84	времени и	2	2
85	с этим	3	2
86	теперь же	2	2
87	что в	6	2
88	говорить о	3	2
89	с другом	4	2
90	тот же	4	2
91	со всеми	3	2
92	которой он	3	2
93	на его	4	2
94	в самом	6	2
95	друг с	4	2
96	в которой	2	2
97	отличие от	2	2
98	в его	21	2
99	всяком случае	4	2
