N	2gram	Losev_Vlad_3	Otkroven
1	у него	24	22
2	и в	40	19
3	но и	18	13
4	и не	25	13
5	в этом	16	12
6	а не	8	11
7	не в	3	11
8	может быть	8	11
9	не только	25	11
10	человека и	3	10
11	и все	4	10
12	вопрос о	4	10
13	в нем	3	10
14	никогда не	11	9
15	не было	5	9
16	потому что	11	9
17	прежде всего	10	9
18	он был	2	8
19	он всегда	2	7
20	ни с	3	7
21	до конца	4	7
22	нет ничего	2	7
23	он не	8	7
24	в его	14	7
25	как и	7	6
26	него в	4	5
27	то что	28	5
28	а в	7	5
29	в том	18	5
30	для него	8	5
31	в этой	8	5
32	в самом	4	5
33	в россии	3	5
34	с его	2	4
35	всегда есть	3	4
36	он сам	2	4
37	только и	5	4
38	того чтобы	3	4
39	и его	10	4
40	все эти	5	4
41	о боге	4	4
42	не может	14	4
43	что в	17	4
44	к нему	3	3
45	не могут	2	3
46	в этих	2	3
47	это не	3	3
48	что он	5	3
49	того что	7	3
50	для того	2	3
51	хотя бы	6	3
52	в своих	7	3
53	еще не	4	3
54	и от	6	3
55	в себе	9	3
56	было бы	4	3
57	о том	11	3
58	как бы	3	3
59	это было	3	3
60	в этот	2	2
61	уже в	3	2
62	все же	4	2
63	что и	7	2
64	не есть	10	2
65	ее в	3	2
66	и для	3	2
67	с тем	7	2
68	можно ли	2	2
69	в истории	5	2
70	так и	6	2
71	не очень	2	2
72	в своем	8	2
73	что есть	3	2
74	что же	9	2
75	никогда и	2	2
76	не все	3	2
77	что все	7	2
78	к этому	2	2
79	по себе	6	2
80	же это	2	2
81	и к	2	2
82	не имеет	4	2
83	должно быть	5	2
84	в которой	2	2
85	том что	18	2
86	так что	14	2
87	в другом	2	2
88	и на	6	2
89	и то	9	2
90	сказать что	12	2
91	и с	9	2
92	чем в	4	2
93	учение о	24	2
94	совсем не	5	2
95	тем что	5	2
96	и против	3	2
97	даже и	12	2
98	с чего	2	2
99	выше всего	2	2
100	его в	2	2
101	должен был	2	2
102	в своей	9	2
103	и ни	2	2
104	так как	7	2
105	и о	4	2
106	к этой	2	2
107	ничего не	5	2
108	хотя и	7	2
109	но в	4	2
110	и потому	10	2
