N	3gram	Vygotskiy__5	Dialekti
1	и т д	3	19
2	с точки зрения	2	12
3	в том что	14	7
4	сам по себе	3	6
5	по себе не	2	5
6	само по себе	2	5
7	одно и то	3	4
8	можно было бы	3	4
9	на то что	16	4
10	с другой стороны	5	4
11	и то же	3	4
12	той или иной	2	3
13	потому что он	2	3
14	иметь в виду	3	3
15	может быть и	2	3
16	можно сказать что	2	3
17	в конце концов	2	3
18	не может быть	2	3
19	друг к другу	4	2
20	по сравнению с	4	2
21	к тому что	6	2
22	о том что	6	2
23	с одной стороны	12	2
24	и т п	3	2
25	в этом отношении	3	2
26	до сих пор	5	2
27	на самом деле	2	2
