N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	26
2	так как	4	18
3	что в	2	12
4	таким образом	11	12
5	в том	4	12
6	в этом	7	12
7	мы видели	4	11
8	может быть	12	11
9	и не	6	10
10	не только	4	10
11	еще не	3	9
12	в нем	3	8
13	все же	3	8
14	вместе с	4	8
15	все эти	5	8
16	уже не	2	7
17	с одной	2	7
18	мы можем	6	7
19	у него	2	7
20	но в	3	7
21	не может	17	6
22	в виде	2	6
23	как он	3	6
24	мы не	9	6
25	же мы	2	5
26	у нас	3	5
27	как и	6	5
28	мы видим	2	5
29	в его	2	5
30	то же	3	5
31	и что	2	5
32	это не	4	4
33	из этих	2	4
34	прежде всего	5	4
35	на его	2	4
36	как бы	4	4
37	как мы	2	4
38	и по	2	4
39	видели что	3	3
40	могут быть	2	3
41	на котором	2	3
42	в одном	3	3
43	вопрос о	4	3
44	не в	3	3
45	такой же	2	3
46	что она	3	3
47	только одна	6	3
48	а в	4	3
49	при этом	3	3
50	из которых	2	3
51	и наконец	5	3
52	их в	4	3
53	в себе	3	3
54	может иметь	2	2
55	отличается от	3	2
56	с этим	2	2
57	мы знаем	2	2
58	для нас	3	2
59	но все	2	2
60	одна из	3	2
61	что при	2	2
62	было бы	3	2
63	всяком случае	2	2
64	но мы	3	2
65	на этой	3	2
66	жизни и	4	2
67	в некоторых	2	2
68	не будем	2	2
69	что же	5	2
70	то и	2	2
71	или же	2	2
72	и они	2	2
73	а не	3	2
74	дает нам	2	2
75	во всяком	2	2
76	знаем что	2	2
77	мы должны	4	2
78	зависимости от	4	2
79	в этой	3	2
80	ее на	2	2
81	что это	2	2
82	когда мы	3	2
83	ничего не	6	2
