N	2gram	Bakhtin_KF_1	Problemy
1	и в	24	34
2	и не	26	29
3	как бы	9	27
4	что он	2	23
5	в его	40	22
6	может быть	45	19
7	в нем	28	19
8	не может	27	19
9	и все	7	19
10	как и	5	18
11	к себе	2	17
12	но в	5	16
13	все это	10	16
14	и его	17	16
15	в этом	14	16
16	прежде всего	2	15
17	что я	5	15
18	он не	6	15
19	то же	5	14
20	к нему	12	14
21	самом деле	3	13
22	для него	8	13
23	но и	9	12
24	же время	2	12
25	потому что	2	12
26	в то	3	12
27	вовсе не	7	11
28	то что	7	11
29	на самом	3	11
30	не только	5	10
31	не в	12	9
32	а не	17	9
33	никогда не	5	8
34	себя и	2	8
35	точки зрения	12	8
36	с ним	5	8
37	и для	9	8
38	в другом	3	8
39	слова в	2	7
40	я не	6	7
41	что в	4	7
42	знает и	2	7
43	отношении к	2	7
44	этого слова	2	7
45	все же	5	7
46	что не	3	7
47	там где	5	7
48	от себя	10	6
49	отношение к	5	6
50	не знает	5	6
51	и на	3	6
52	с ними	3	6
53	от него	3	6
54	для себя	5	6
55	отношению к	22	6
56	так и	2	6
57	в себе	21	6
58	только в	16	6
59	что это	3	5
60	это не	10	5
61	но все	5	5
62	того что	3	5
63	себе и	3	5
64	в целом	10	5
65	по отношению	26	5
66	лишь в	8	5
67	а в	4	5
68	он и	2	5
69	когда я	3	5
70	с тем	2	5
71	в одном	4	5
72	что и	7	5
73	хотя бы	4	5
74	в чем	4	5
75	ни был	2	4
76	то ни	2	4
77	ни было	4	4
78	ни в	12	4
79	из его	3	4
80	но это	6	4
81	при этом	4	4
82	не о	2	4
83	его с	2	4
84	бы то	2	4
85	как к	2	4
86	бы он	2	4
87	все эти	10	4
88	рядом с	3	4
89	но как	5	4
90	его в	5	4
91	если бы	8	4
92	этом смысле	3	4
93	меня не	3	4
94	но не	12	4
95	еще не	4	4
96	бы и	3	4
97	как в	2	4
98	в мире	6	4
99	с точки	9	4
100	тем что	3	4
101	в виде	2	4
102	и это	12	4
103	ничего не	3	4
104	не менее	3	3
105	для этого	2	3
106	в каждом	3	3
107	его к	2	3
108	в том	6	3
109	совсем не	2	3
110	до конца	3	3
111	он ни	2	3
112	но для	2	3
113	в него	2	3
114	в виду	3	3
115	в котором	24	3
116	с ее	2	3
117	жизни и	8	3
118	его и	2	3
119	ее как	2	3
120	должно быть	6	3
121	в ней	3	3
122	где он	3	3
123	говорить о	2	3
124	во всем	7	3
125	сознания и	3	3
126	не как	4	3
127	раз и	2	3
128	по себе	2	3
129	в ее	16	3
130	том что	4	3
131	по своему	3	3
132	между тем	4	3
133	не могу	3	3
134	нет и	3	3
135	в своей	10	3
136	а с	2	3
137	если не	2	3
138	сводится к	2	3
139	и как	2	3
140	и то	2	3
141	только с	3	3
142	это было	2	3
143	не было	8	2
144	это уже	2	2
145	тому что	2	2
146	та же	2	2
147	я уже	2	2
148	вследствие этого	2	2
149	вопрос о	2	2
150	или иной	2	2
151	тем не	2	2
152	было и	2	2
153	но ни	2	2
154	с человеком	3	2
155	нет в	4	2
156	кажется что	2	2
157	и себе	2	2
158	был бы	3	2
159	один из	2	2
160	он может	2	2
161	в своем	16	2
162	и только	6	2
163	мысль и	2	2
164	чем не	4	2
165	того или	3	2
166	себя за	2	2
167	отказаться от	2	2
168	и мир	2	2
169	той или	3	2
170	о том	3	2
171	себя как	2	2
172	я и	2	2
173	или как	2	2
174	и свой	2	2
175	а как	2	2
176	и этот	3	2
177	нисколько не	4	2
178	всех этих	3	2
179	отнюдь не	6	2
180	были бы	2	2
181	в жизни	2	2
182	его целом	10	2
183	меня в	3	2
184	конечно в	2	2
185	слово не	3	2
186	как его	4	2
187	и того	2	2
188	это и	2	2
189	но я	2	2
190	если я	2	2
191	ли это	2	2
192	себе как	2	2
193	было бы	8	2
194	со всеми	2	2
195	конечно не	7	2
196	во всех	11	2
197	и потому	2	2
198	о нем	4	2
199	и делает	2	2
200	войти в	2	2
201	быть и	3	2
202	входит в	3	2
203	бы не	3	2
204	жизнь и	2	2
205	еще более	2	2
206	не я	3	2
207	уже не	7	2
208	к чему	3	2
209	что значит	2	2
210	со всем	5	2
211	вступает в	3	2
212	всей своей	2	2
213	и ее	2	2
214	которой он	2	2
215	для другого	2	2
