N	2gram	Bakhtin_Pr_4	Myshleni
1	в том	9	28
2	и в	46	28
3	то что	4	28
4	в этом	16	27
5	потому что	4	22
6	не может	19	19
7	том что	4	19
8	таким образом	4	18
9	что он	6	18
10	только в	6	18
11	что в	4	17
12	не только	14	16
13	так же	3	15
14	может быть	23	13
15	с помощью	3	13
16	сказать что	2	13
17	точки зрения	11	13
18	и не	27	11
19	к другим	2	11
20	как бы	19	11
21	что мы	2	11
22	в отношении	3	10
23	к тому	2	10
24	как мы	12	10
25	но и	12	10
26	по отношению	5	10
27	так как	5	10
28	но не	4	10
29	отношению к	5	10
30	с точки	9	10
31	было бы	3	9
32	в процессе	4	9
33	мы можем	4	9
34	никогда не	6	8
35	в самом	9	8
36	еще не	7	8
37	тем что	3	8
38	того же	3	7
39	если бы	3	7
40	в нем	17	7
41	в сущности	7	7
42	в своем	3	7
43	и других	4	7
44	отношение к	3	7
45	он не	4	7
46	вместе с	2	7
47	то же	6	7
48	между ними	10	7
49	можно было	2	7
50	там где	2	7
51	и к	9	6
52	же как	2	6
53	так что	2	6
54	и как	2	6
55	и что	3	6
56	для него	2	6
57	в то	5	6
58	как и	12	6
59	можно сказать	4	6
60	так и	4	6
61	приводит к	4	6
62	как раз	7	6
63	связи между	2	6
64	мы не	4	6
65	не могут	3	5
66	это не	5	5
67	вопрос о	2	5
68	в пределах	10	5
69	друг с	5	5
70	и тем	2	5
71	языка и	2	5
72	и на	11	5
73	и все	9	5
74	но в	6	5
75	речи и	5	5
76	эти отношения	3	5
77	том же	4	5
78	с другом	5	5
79	того как	2	5
80	могут быть	2	5
81	в этой	3	5
82	не могли	2	5
83	на то	3	4
84	не в	10	4
85	мы и	3	4
86	на этом	3	4
87	например в	4	4
88	на этот	2	4
89	но если	3	4
90	к жизни	2	4
91	целый ряд	2	4
92	с этим	2	4
93	они не	2	4
94	между этими	3	4
95	друг друга	6	4
96	в одной	2	4
97	и следовательно	2	4
98	мы имеем	3	4
99	к другому	5	4
100	своей природе	2	4
101	что и	3	4
102	во всех	5	4
103	в той	3	4
104	той же	3	4
105	в себе	7	4
106	которые в	2	4
107	из этих	3	3
108	в каждом	6	3
109	все время	2	3
110	слов и	3	3
111	есть в	6	3
112	отличается от	3	3
113	до конца	4	3
114	при этом	5	3
115	хотя и	6	3
116	по мере	4	3
117	в их	4	3
118	и только	3	3
119	те же	2	3
120	в системе	2	3
121	и по	2	3
122	и здесь	4	3
123	по своей	3	3
124	бы в	3	3
125	от этого	2	3
126	с его	5	3
127	на фоне	6	3
128	по себе	7	3
129	раз в	2	3
130	отношение между	2	3
131	до сих	8	3
132	в его	9	3
133	только к	2	3
134	сих пор	8	3
135	как в	4	3
136	в себя	4	3
137	а не	11	3
138	что такое	2	3
139	и его	6	3
140	значение для	3	3
141	этот вопрос	2	3
142	ту же	2	3
143	не знает	4	3
144	и т.д	3	3
145	отношении к	2	3
146	отношения к	2	3
147	не менее	2	2
148	он сам	2	2
149	но на	2	2
150	и другие	3	2
151	возникает вопрос	2	2
152	в этих	4	2
153	для этого	2	2
154	с другой	3	2
155	в конце	3	2
156	прежде всего	9	2
157	для нас	2	2
158	слово не	9	2
159	к определенному	2	2
160	но это	6	2
161	самом деле	4	2
162	к одному	6	2
163	одним из	3	2
164	и является	2	2
165	себе и	3	2
166	в котором	5	2
167	себе что	2	2
168	могут оказаться	2	2
169	если мы	5	2
170	все это	6	2
171	другой стороны	3	2
172	все эти	4	2
173	на том	2	2
174	и наконец	4	2
175	в других	2	2
176	в которых	2	2
177	остается в	2	2
178	но он	3	2
179	с ним	2	2
180	между двумя	3	2
181	у него	5	2
182	языка в	2	2
183	раз и	4	2
184	в одном	11	2
185	этом смысле	2	2
186	у нас	2	2
187	по существу	3	2
188	более того	3	2
189	она не	3	2
190	мы уже	3	2
191	в своей	3	2
192	и между	6	2
193	этого слова	2	2
194	не могло	2	2
195	все же	4	2
196	когда он	2	2
197	мысли и	2	2
198	только на	3	2
199	а в	2	2
200	но с	2	2
201	речи как	2	2
202	речь в	2	2
203	в данном	2	2
204	первостепенное значение	3	2
205	что я	6	2
206	в другом	2	2
