N	2gram	Medvedev_V_1	Analitik
1	в качестве	11	31
2	может быть	22	29
3	в том	15	27
4	не может	17	22
5	и не	19	21
6	в частности	11	19
7	и в	26	18
8	а не	7	17
9	но и	10	17
10	отнюдь не	3	15
11	не только	25	15
12	не в	6	14
13	как и	7	13
14	в его	14	13
15	в этом	26	13
16	том что	8	12
17	произведения в	7	11
18	в себе	6	11
19	но не	2	10
20	то же	10	9
21	а в	3	9
22	в то	6	9
23	но в	2	8
24	к тому	4	7
25	том чтобы	2	7
26	произведения как	5	7
27	это не	7	6
28	прежде всего	13	6
29	или иной	2	6
30	же время	5	6
31	в самом	4	6
32	далеко не	2	6
33	должен быть	4	6
34	то что	6	6
35	в своей	4	6
36	по отношению	7	6
37	точки зрения	3	6
38	только в	7	6
39	мы имеем	3	6
40	художественного произведения	6	5
41	и как	3	5
42	в этой	4	5
43	что в	10	5
44	как бы	5	5
45	отношению к	7	5
46	в целом	4	5
47	художественное произведение	5	5
48	в их	5	5
49	сводится к	3	5
50	лишь в	2	5
51	и его	6	5
52	между тем	5	5
53	о том	10	5
54	на вопрос	2	4
55	того что	3	4
56	могут быть	5	4
57	конечном счете	5	4
58	с другой	11	4
59	по себе	2	4
60	большей или	3	4
61	для того	3	4
62	в области	2	4
63	в конечном	7	4
64	все же	5	4
65	вместе с	7	4
66	так и	5	4
67	именно в	2	4
68	из которых	2	4
69	с другими	2	4
70	или меньшей	3	4
71	в другом	2	4
72	не следует	8	4
73	всего лишь	3	4
74	том числе	2	3
75	не могут	7	3
76	с его	3	3
77	и есть	5	3
78	хотя бы	19	3
79	в нем	6	3
80	и к	3	3
81	что он	4	3
82	и т	23	3
83	в силу	11	3
84	как известно	2	3
85	еще не	2	3
86	одной стороны	2	3
87	что не	3	3
88	одним из	5	3
89	он не	2	3
90	в котором	3	3
91	если в	2	3
92	даже в	5	3
93	что и	3	3
94	таким образом	31	3
95	с одной	2	3
96	того чтобы	3	3
97	того или	2	3
98	тому как	2	3
99	подобно тому	2	3
100	данного произведения	3	3
101	т п	9	3
102	что мы	2	3
103	будто бы	2	3
104	как он	2	3
105	в художественном	10	3
106	если бы	3	3
107	образом не	3	2
108	в творческом	2	2
109	в противоположность	3	2
110	только не	2	2
111	никогда не	4	2
112	все эти	6	2
113	не столько	2	2
114	не является	5	2
115	и просто	2	2
116	из этих	7	2
117	тогда когда	2	2
118	говорит и	8	2
119	представляет собою	11	2
120	вовсе не	3	2
121	а как	2	2
122	можно сказать	4	2
123	в искусстве	6	2
124	различного рода	3	2
125	и потому	2	2
126	как от	2	2
127	должно быть	2	2
128	художественное творчество	6	2
129	для него	8	2
130	в пределах	5	2
131	было бы	7	2
132	мысль о	2	2
133	при всей	2	2
134	понимать как	2	2
135	не о	2	2
136	нет и	3	2
137	один из	5	2
138	он может	2	2
139	как говорит	5	2
140	из них	9	2
141	в процессе	16	2
142	другой стороны	8	2
143	отличается от	2	2
144	бы не	2	2
145	этом отношении	13	2
146	художественного творчества	18	2
147	и по	3	2
148	роль в	4	2
149	на основе	5	2
150	также и	2	2
151	писал в	3	2
152	же самое	2	2
153	и заключается	2	2
154	при помощи	3	2
155	которые в	2	2
156	в которой	2	2
157	в сознании	4	2
