N	3gram	Bakhtin_Pr_2	EvropaiE
1	с точки зрения	9	16
2	в то же	3	15
3	то же время	3	14
4	в том что	4	6
5	так же как	3	5
6	этой точки зрения	2	5
7	той или иной	3	4
8	и в этом	6	4
9	само по себе	2	4
10	же как и	2	3
11	в той или	2	3
12	можно сказать что	2	3
13	хотя бы и	2	3
14	в этом отношении	2	3
15	в этом смысле	5	3
16	друг с другом	2	3
17	по сравнению с	2	2
18	в большинстве случаев	2	2
19	дело идет о	2	2
20	друг от друга	2	2
21	на то что	2	2
22	как мы видели	3	2
23	но в то	3	2
24	мы можем сказать	2	2
25	не может быть	6	2
