N	2gram	Bakhtin_Fr_1	SlovoVZh
1	не может	3	16
2	точки зрения	7	14
3	может быть	6	14
4	и его	10	13
5	как бы	22	13
6	и в	65	12
7	и не	22	10
8	так как	6	9
9	прежде всего	11	8
10	для нас	4	7
11	сказать что	6	7
12	в нем	13	6
13	в процессе	2	6
14	при этом	6	6
15	в том	16	6
16	только в	7	6
17	в ней	6	6
18	и др	24	5
19	в жизни	4	5
20	то что	3	5
21	никогда не	6	5
22	можно сказать	2	5
23	как и	5	5
24	том что	6	5
25	как в	5	5
26	что мы	2	5
27	но в	14	5
28	в виду	3	5
29	и к	4	4
30	все же	6	4
31	отношение к	4	4
32	жизни и	7	4
33	так и	10	4
34	от того	2	4
35	с другой	3	4
36	на самом	6	4
37	уже не	3	4
38	что не	2	4
39	в литературе	6	4
40	литературы и	5	4
41	не в	4	4
42	в этом	15	4
43	и на	11	4
44	его в	7	4
45	дело в	2	4
46	в самом	4	4
47	к нему	3	4
48	за пределы	8	4
49	не только	10	4
50	в них	5	3
51	не к	2	3
52	в своей	5	3
53	в некоторых	2	3
54	сих пор	4	3
55	все это	9	3
56	и по	2	3
57	и вообще	3	3
58	все эти	10	3
59	это как	4	3
60	но и	10	3
61	и пр	5	3
62	того что	2	3
63	и наконец	2	3
64	да и	2	3
65	самом деле	3	3
66	формы и	7	3
67	и с	3	3
68	о том	2	3
69	в себе	3	3
70	для него	5	3
71	до сих	4	3
72	еще не	6	3
73	только на	2	3
74	и для	2	3
75	с ним	3	3
76	но для	3	3
77	между тем	5	3
78	перестает быть	3	2
79	с его	5	2
80	но все	3	2
81	от всех	3	2
82	что в	3	2
83	на все	2	2
84	и так	2	2
85	в этих	2	2
86	на него	2	2
87	в форме	3	2
88	в своем	8	2
89	в отношении	6	2
90	нет ничего	3	2
91	это не	3	2
92	влияние на	7	2
93	и все	5	2
94	и другие	8	2
95	в особенности	2	2
96	этих двух	2	2
97	с одной	2	2
98	связь с	5	2
99	в себя	3	2
100	конечно в	2	2
101	его к	2	2
102	искусства и	6	2
103	с точки	3	2
104	и здесь	3	2
105	но это	3	2
106	более того	2	2
107	и оценки	4	2
108	но не	2	2
109	быть только	2	2
110	могут быть	2	2
111	еще раз	2	2
112	кроме того	2	2
113	до конца	2	2
114	одной стороны	2	2
115	ни на	2	2
116	подчеркнуть что	2	2
117	в чем	2	2
118	ничего не	3	2
119	он не	2	2
120	в условиях	13	2
121	в основном	2	2
122	в его	9	2
123	и потому	10	2
124	между ними	4	2
