N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	41
2	то есть	3	24
3	в нем	4	16
4	и с	7	16
5	и его	6	13
6	но и	4	13
7	в этом	9	12
8	все это	4	11
9	все эти	3	11
10	прежде всего	4	10
11	в самом	2	10
12	не только	8	10
13	то что	4	10
14	и на	7	9
15	и все	4	9
16	о том	2	9
17	никогда не	2	8
18	в этой	4	8
19	но в	6	8
20	у него	6	7
21	том что	4	7
22	этот образ	4	7
23	как бы	7	7
24	и до	2	7
25	как и	5	7
26	что в	4	7
27	в его	3	7
28	в образе	6	6
29	что он	6	6
30	в году	9	6
31	один из	3	6
32	в то	5	6
33	то же	5	5
34	с его	2	5
35	что образ	3	5
36	в одном	2	5
37	в ее	2	5
38	так же	4	5
39	же время	6	5
40	и он	3	5
41	так и	5	5
42	в своем	3	5
43	и что	4	5
44	еще в	2	5
45	тем что	2	5
46	в себе	4	5
47	что это	5	5
48	уже в	3	4
49	но они	2	4
50	он был	2	4
51	и как	3	4
52	не в	2	4
53	все же	5	4
54	не может	5	4
55	как в	3	4
56	и даже	4	4
57	с ним	3	4
58	перед нами	2	3
59	он сам	7	3
60	но это	4	3
61	как у	2	3
62	и сам	3	3
63	не мог	2	3
64	при этом	3	3
65	и не	7	3
66	к нему	3	3
67	в данном	2	3
68	в первом	2	3
69	потому что	2	3
70	не могут	2	2
71	не был	2	2
72	это уже	2	2
73	в частности	2	2
74	в конце	3	2
75	что все	2	2
76	из самых	2	2
77	в том	2	2
78	так что	2	2
79	в дальнейшем	5	2
80	до конца	2	2
81	никто не	3	2
82	может быть	7	2
83	он не	2	2
84	если б	2	2
85	данном случае	2	2
86	как это	3	2
87	но эта	2	2
88	и то	2	2
89	состоит из	2	2
90	в романе	10	2
