N	2gram	Tiupa_Anal_1	Myshleni
1	в том	27	33
2	том что	12	27
3	точки зрения	6	26
4	то что	6	20
5	в этом	13	19
6	с точки	4	18
7	того что	4	17
8	и в	18	15
9	не только	15	15
10	что в	5	14
11	таким образом	3	14
12	что он	3	12
13	того чтобы	3	12
14	в самом	6	11
15	в процессе	2	11
16	в целом	5	10
17	но и	17	10
18	было бы	2	10
19	для того	4	10
20	может быть	29	9
21	не является	2	9
22	не может	22	9
23	что мы	3	9
24	о том	5	9
25	в сущности	6	9
26	так и	4	8
27	никогда не	2	8
28	не в	14	8
29	если бы	3	8
30	к тому	7	7
31	одной стороны	3	7
32	с одной	3	7
33	и не	21	7
34	на основе	2	7
35	потому что	2	7
36	как бы	5	7
37	по себе	4	7
38	он не	3	7
39	и т.п	5	7
40	едва ли	2	7
41	в частности	19	6
42	как мы	2	6
43	в этой	5	6
44	по отношению	6	6
45	с другой	4	6
46	как он	3	6
47	но в	8	6
48	вовсе не	2	6
49	и к	3	6
50	как и	13	6
51	по своей	6	6
52	как известно	3	6
53	вместе с	4	6
54	самом деле	2	6
55	это не	6	5
56	вопрос о	2	5
57	тогда когда	2	5
58	отношению к	5	5
59	внутренней речи	5	5
60	то же	9	5
61	на вопрос	4	4
62	прежде всего	6	4
63	из этих	2	4
64	несмотря на	2	4
65	том чтобы	7	4
66	который в	2	4
67	а в	9	4
68	и с	2	4
69	в конечном	4	4
70	в начале	2	4
71	могли бы	2	4
72	при помощи	2	4
73	так как	2	4
74	с его	3	4
75	конечном счете	4	4
76	все же	4	4
77	в качестве	31	4
78	в своей	6	4
79	даже в	3	4
80	а с	3	4
81	из того	4	4
82	хотя бы	3	4
83	и его	5	4
84	только в	6	4
85	в которой	2	4
86	том числе	3	3
87	только для	2	3
88	для этого	2	3
89	в собственном	3	3
90	что именно	2	3
91	и сам	2	3
92	для него	2	3
93	при этом	12	3
94	из них	2	3
95	и до	2	3
96	данном случае	2	3
97	со стороны	2	3
98	этом отношении	2	3
99	все эти	2	3
100	лишь в	5	3
101	и по	2	3
102	что как	3	3
103	с другими	4	3
104	в основе	6	3
105	с ним	4	3
106	мы имеем	6	3
107	и все	3	3
108	состоит в	11	3
109	тем более	2	3
110	но не	10	3
111	того же	4	3
112	для себя	2	3
113	на самом	2	3
114	тем самым	7	3
115	а не	17	3
116	из которых	4	3
117	при рассмотрении	3	3
118	в данном	2	3
119	в отличие	6	3
120	этого слова	7	3
121	отличие от	6	3
122	в противоположность	2	2
123	быть может	2	2
124	не могут	3	2
125	и есть	3	2
126	столь же	4	2
127	на все	2	2
128	на место	2	2
129	как уже	2	2
130	отрыве от	2	2
131	или иной	6	2
132	можно сказать	2	2
133	ни в	4	2
134	и как	5	2
135	всякий раз	3	2
136	и более	4	2
137	человека к	4	2
138	с целью	2	2
139	случае не	2	2
140	той или	6	2
141	и самого	2	2
142	в котором	3	2
143	могут быть	4	2
144	в их	5	2
145	ни чисто	2	2
146	должно быть	2	2
147	то он	2	2
148	не следует	4	2
149	из виду	2	2
150	в категориях	2	2
151	же самое	2	2
152	также и	2	2
153	а также	3	2
154	и составляет	2	2
155	отнюдь не	15	2
156	следует что	2	2
157	бы ни	2	2
158	вопрос об	3	2
159	именно в	4	2
160	в присутствии	2	2
161	представляет собой	16	2
162	за пределы	2	2
163	иначе говоря	9	2
164	в его	13	2
165	нет и	2	2
166	должен быть	6	2
167	что и	3	2
168	как говорит	2	2
169	научного мышления	2	2
170	и тогда	2	2
171	что же	2	2
172	для данного	2	2
173	в себя	6	2
174	в силу	3	2
175	той же	2	2
176	тому как	3	2
177	подобно тому	3	2
178	в себе	11	2
179	в другом	4	2
180	его к	2	2
