N	2gram	Savitsky_E_1	Istorich
1	и в	37	25
2	вместе с	2	22
3	представление о	2	17
4	может быть	6	17
5	т е	9	16
6	не только	18	13
7	но и	14	13
8	в его	2	12
9	и не	14	11
10	так как	7	11
11	в этом	12	10
12	тем что	3	10
13	с другой	7	9
14	таким образом	2	9
15	в виде	5	9
16	с тем	3	8
17	что в	21	8
18	том что	6	8
19	мы видим	2	8
20	другой стороны	2	8
21	и что	2	8
22	и на	6	8
23	в частности	5	7
24	в качестве	14	7
25	мы видели	3	7
26	как и	7	7
27	то что	6	7
28	одной стороны	8	7
29	при помощи	2	7
30	с одной	8	7
31	потому что	3	7
32	представляет собой	3	7
33	только в	9	7
34	о том	3	7
35	в этих	2	6
36	прежде всего	9	6
37	что и	3	6
38	как в	3	6
39	не может	9	6
40	не в	5	6
41	или в	2	6
42	могут быть	2	6
43	в том	11	6
44	там где	3	6
45	что это	2	5
46	с этим	2	5
47	как мы	5	5
48	для нас	4	5
49	но не	5	5
50	связано с	3	5
51	в ней	4	5
52	так же	9	5
53	мы не	4	5
54	что все	2	4
55	и тем	3	4
56	с другими	2	4
57	в ее	8	4
58	в пределах	25	4
59	наряду с	2	4
60	же как	5	4
61	в некоторых	2	4
62	а именно	2	4
63	то же	15	4
64	в истории	2	4
65	его на	2	4
66	от этого	5	4
67	он не	2	4
68	мы должны	2	4
69	в другой	2	3
70	никогда не	3	3
71	и как	2	3
72	и все	2	3
73	в свою	3	3
74	в этой	2	3
75	в то	16	3
76	того чтобы	6	3
77	если в	2	3
78	на себя	3	3
79	для того	6	3
80	к нему	2	3
81	к берегу	2	3
82	а в	2	3
83	в которых	3	3
84	в данном	3	3
85	и с	2	3
86	этих народов	3	2
87	уже и	3	2
88	к морю	3	2
89	к которым	5	2
90	в некотором	4	2
91	на них	2	2
92	тогда когда	2	2
93	вовсе не	6	2
94	вопрос о	4	2
95	по себе	4	2
96	на то	6	2
97	от них	3	2
98	можно сказать	4	2
99	же в	2	2
100	приближается к	3	2
101	с этой	6	2
102	во власти	2	2
103	такой же	2	2
104	очевидно что	3	2
105	того же	3	2
106	это значит	2	2
107	она не	2	2
108	жизни и	2	2
109	несмотря на	4	2
110	и мы	3	2
111	друг с	3	2
112	если бы	2	2
113	хозяйственной жизни	4	2
114	как бы	6	2
115	и потому	5	2
116	от берега	5	2
117	даже в	4	2
118	в своей	8	2
119	когда он	3	2
120	во всех	6	2
121	время в	3	2
122	ее в	3	2
123	данном случае	2	2
124	со стороны	5	2
125	говорит о	3	2
126	и таким	2	2
127	и для	3	2
128	в течение	5	2
129	и других	2	2
130	а не	2	2
131	того что	7	2
132	и по	5	2
133	в других	2	2
134	то в	4	2
135	с большой	2	2
136	сказать что	4	2
137	точки зрения	23	2
138	из них	3	2
139	с другом	3	2
140	мы можем	3	2
