N	2gram	Medvedev_V_1	formyVre
1	и в	26	46
2	в этом	26	22
3	прежде всего	13	14
4	и т	23	14
5	вовсе не	3	13
6	в романе	4	13
7	и его	6	12
8	только в	7	11
9	не только	25	11
10	во всех	6	11
11	т п	9	11
12	во время	3	10
13	в том	15	10
14	как бы	5	10
15	точки зрения	3	10
16	но в	2	10
17	у него	6	9
18	не в	6	9
19	мира и	3	9
20	вместе с	7	9
21	но и	10	9
22	и не	19	9
23	и для	2	9
24	в связи	3	8
25	связи с	4	8
26	как и	7	8
27	в его	14	8
28	жизни и	3	8
29	то же	10	8
30	того чтобы	3	8
31	для того	3	8
32	из них	9	8
33	в основном	5	8
34	всех этих	2	7
35	в них	4	7
36	в одном	4	7
37	может быть	22	7
38	то что	6	7
39	так и	5	7
40	так сказать	2	7
41	никогда не	4	6
42	еще не	2	6
43	его в	3	6
44	все же	5	6
45	все это	10	6
46	в особенности	2	6
47	человека в	2	6
48	и наконец	2	6
49	в частности	11	5
50	в своем	8	5
51	с этим	3	5
52	по существу	3	5
53	в пределах	5	5
54	в то	6	5
55	но не	2	5
56	он не	2	5
57	и др	9	5
58	в нем	6	5
59	что в	10	5
60	все эти	6	5
61	и у	2	5
62	должно быть	2	5
63	отнюдь не	3	4
64	из этих	7	4
65	человека и	3	4
66	в образе	2	4
67	же время	5	4
68	же в	6	4
69	том что	8	4
70	что они	3	4
71	том же	6	4
72	в котором	3	4
73	и их	3	4
74	а не	7	4
75	и он	2	4
76	также и	2	4
77	их в	6	4
78	в себе	6	4
79	о том	10	4
80	все его	2	4
81	том числе	2	3
82	не было	7	3
83	о чем	2	3
84	все они	2	3
85	не является	5	3
86	к этому	9	3
87	к тому	4	3
88	что он	4	3
89	а затем	2	3
90	и как	3	3
91	как у	2	3
92	в качестве	11	3
93	для него	8	3
94	том как	3	3
95	хотя и	2	3
96	нет и	3	3
97	что и	3	3
98	ее в	4	3
99	в форме	3	3
100	т д	14	3
101	таким образом	31	3
102	в их	5	3
103	того что	3	3
104	и даже	2	3
105	и по	3	3
106	мы наблюдаем	2	3
107	а в	3	3
108	роль в	4	3
109	на основе	5	3
110	в которых	3	3
111	в другом	2	3
112	же самое	2	3
113	и художественного	3	3
114	в виду	4	3
115	и весь	2	2
116	и есть	5	2
117	числе и	2	2
118	и образов	5	2
119	говорить о	2	2
120	с другой	11	2
121	это не	7	2
122	что все	3	2
123	одном из	3	2
124	по себе	2	2
125	не быть	2	2
126	или иной	2	2
127	можно сказать	4	2
128	о его	2	2
129	именно в	2	2
130	у нас	2	2
131	в этой	4	2
132	с тем	3	2
133	утверждает что	3	2
134	между ними	3	2
135	равно как	4	2
136	смысле слова	2	2
137	она не	3	2
138	было бы	7	2
139	и к	3	2
140	вплоть до	2	2
141	и потому	2	2
142	явлений и	3	2
143	если в	2	2
144	один из	5	2
145	мы видели	3	2
146	пародия на	2	2
147	после этого	2	2
148	не может	17	2
149	этом отношении	13	2
150	с одной	2	2
151	лишь в	2	2
152	так же	3	2
153	как на	3	2
154	другом месте	2	2
155	у них	2	2
156	и от	3	2
157	мы имеем	3	2
158	могут быть	5	2
159	ту же	2	2
160	далеко не	2	2
161	в конце	3	2
162	как он	2	2
163	как это	12	2
164	в последнем	2	2
165	значит что	2	2
