N	2gram	Bakhtin_fo_2	Tvorches
1	и в	46	21
2	как бы	10	17
3	в то	5	15
4	в его	8	13
5	то же	8	13
6	времени в	7	13
7	что в	5	12
8	как и	8	12
9	же время	4	12
10	то есть	10	12
11	том что	4	11
12	в романе	13	10
13	все это	6	10
14	как в	4	8
15	он не	5	8
16	то что	7	8
17	у него	9	7
18	в том	10	7
19	при этом	6	7
20	не только	11	7
21	и не	9	7
22	и на	7	7
23	но в	10	7
24	что он	3	6
25	жизни в	4	6
26	и все	6	6
27	для него	3	6
28	в котором	4	6
29	человека в	6	6
30	а в	3	6
31	и его	12	6
32	в этом	22	6
33	о том	4	6
34	отнюдь не	4	5
35	вовсе не	13	5
36	а не	4	5
37	но это	2	5
38	может быть	7	5
39	в этой	2	5
40	все же	6	5
41	таким образом	3	5
42	потому что	8	5
43	только в	11	5
44	в своем	5	4
45	та же	3	4
46	человека и	4	4
47	прежде всего	14	4
48	в мире	4	4
49	и как	3	4
50	один из	2	4
51	не может	2	4
52	это не	2	4
53	с большой	2	4
54	и от	2	4
55	в основном	8	4
56	место в	4	3
57	уже в	4	3
58	и другие	3	3
59	никогда не	6	3
60	с другой	2	3
61	что все	2	3
62	представление о	2	3
63	с ним	4	3
64	не был	2	3
65	времени он	2	3
66	в дальнейшем	5	3
67	но не	5	3
68	со всеми	2	3
69	в нем	5	3
70	и т	14	3
71	жизни и	8	3
72	но и	9	3
73	ее в	3	3
74	в их	3	3
75	во времени	3	3
76	уже не	3	3
77	на земле	2	3
78	и других	2	3
79	того что	3	3
80	и даже	3	3
81	и по	3	3
82	так же	2	3
83	и с	6	3
84	хотя и	3	3
85	на протяжении	3	3
86	ту же	2	3
87	героев и	4	3
88	далеко не	2	3
89	так как	6	3
90	в основе	6	2
91	и та	2	2
92	в частности	5	2
93	отчасти и	3	2
94	в этих	3	2
95	в качестве	3	2
96	в вечности	2	2
97	между вещами	3	2
98	в пространстве	5	2
99	к этому	3	2
100	ее и	2	2
101	в литературе	2	2
102	можно сказать	2	2
103	что и	3	2
104	влияние на	2	2
105	а затем	3	2
106	самое время	3	2
107	так что	4	2
108	не в	9	2
109	то в	2	2
110	бога и	2	2
111	того же	3	2
112	до конца	2	2
113	тот же	3	2
114	из них	8	2
115	к тому	3	2
116	в одной	2	2
117	если в	2	2
118	в духе	2	2
119	в средневековой	2	2
120	протяжении всего	2	2
121	вместе с	9	2
122	жизни с	2	2
123	так и	7	2
124	именно в	2	2
125	еще более	4	2
126	в двух	2	2
127	в себя	2	2
128	него есть	2	2
129	здесь мы	3	2
130	не мог	2	2
131	и у	5	2
132	и наконец	6	2
133	и он	4	2
134	представлений о	2	2
135	людей и	2	2
136	могут быть	2	2
137	но он	2	2
138	в данном	2	2
139	в себе	4	2
140	т п	11	2
141	не знает	2	2
142	пространства и	2	2
143	так сказать	7	2
144	значит что	2	2
145	в виду	3	2
146	мира в	3	2
