N	2gram	Berdyaev_M_2	VelikijI
1	великого инквизитора	4	36
2	во имя	16	32
3	и не	18	20
4	и в	46	16
5	свободы и	4	12
6	то что	5	9
7	так как	8	9
8	к богу	2	8
9	что они	3	7
10	и потому	7	7
11	на земле	8	7
12	а не	13	7
13	человека и	7	6
14	хлеба земного	6	6
15	не есть	13	6
16	хлеба небесного	2	6
17	бога и	5	5
18	в мире	7	5
19	хотя и	2	5
20	как бы	8	5
21	великом инквизиторе	2	5
22	но и	15	5
23	что есть	2	5
24	того что	6	5
25	в боге	4	5
26	о великом	2	4
27	и есть	8	4
28	нет у	3	4
29	вавилонской башни	2	4
30	что все	5	4
31	в образе	3	4
32	что он	7	4
33	в нем	22	4
34	как и	13	4
35	все что	4	4
36	мира сего	3	4
37	так и	4	4
38	добра и	5	4
39	что не	2	4
40	к небытию	2	4
41	потому что	12	4
42	в этом	20	4
43	в ней	11	4
44	земного и	4	4
45	и все	5	4
46	в его	5	4
47	любовь к	8	3
48	с его	4	3
49	что в	4	3
50	в этих	2	3
51	в них	3	3
52	превращается в	2	3
53	в конце	5	3
54	в жизни	4	3
55	людей во	2	3
56	ни в	3	3
57	в том	3	3
58	не в	9	3
59	но это	8	3
60	есть соблазн	2	3
61	тот же	2	3
62	в средство	2	3
63	к тому	5	3
64	во всех	2	3
65	никогда не	18	3
66	во христе	6	3
67	оно не	2	3
68	что и	4	3
69	людей в	2	3
70	в социализме	4	3
71	и против	3	3
72	жизни и	6	3
73	в своей	5	3
74	бы и	5	3
75	тому что	4	3
76	не было	11	3
77	лишь в	2	3
78	и что	2	3
79	к чему	4	3
80	не имеет	4	3
81	хотя бы	7	3
82	и для	7	3
83	должно быть	2	3
84	тех которые	3	3
85	от этого	2	3
86	личности и	2	3
87	восстает против	3	3
88	нет ничего	3	3
89	в чем	3	3
90	но в	10	3
91	тот кто	5	2
92	верит в	2	2
93	это не	5	2
94	имя счастья	2	2
95	в духе	5	2
96	прежде всего	12	2
97	что было	3	2
98	ее и	2	2
99	от свободы	3	2
100	есть уже	4	2
101	познания добра	2	2
102	камней в	2	2
103	да и	2	2
104	том что	4	2
105	совести и	2	2
106	они и	4	2
107	и хлеба	2	2
108	не к	2	2
109	для него	18	2
110	того чтобы	4	2
111	ивана карамазова	7	2
112	для человечества	2	2
113	и во	3	2
114	не только	18	2
115	в смысл	2	2
116	один из	5	2
117	смысл мира	2	2
118	не будет	3	2
119	нем нет	2	2
120	и за	2	2
121	и зла	6	2
122	ее в	2	2
123	не хотел	2	2
124	и люди	2	2
125	и тогда	3	2
126	в бога	4	2
127	те которые	3	2
128	все равно	3	2
129	это все	2	2
130	тем что	3	2
131	уже не	4	2
132	более чем	2	2
133	и никогда	3	2
134	не так	3	2
135	вот почему	2	2
136	для человека	3	2
137	его не	2	2
138	а в	2	2
139	с ним	3	2
140	от своей	2	2
141	можно было	2	2
142	духа и	3	2
143	людей и	3	2
144	между тем	2	2
145	любовь не	7	2
146	самого себя	4	2
147	мир и	2	2
148	своей свободы	3	2
149	богу и	2	2
150	только в	3	2
151	и это	5	2
152	два начала	2	2
