N	3gram	Trubetskoy_1	KulturaY
1	в том что	7	10
2	можно было бы	3	9
3	с точки зрения	9	8
4	для того чтобы	6	8
5	во всяком случае	6	5
6	не может быть	4	4
7	в лучшем случае	3	3
8	в то же	10	3
9	то же время	10	3
10	точно так же	2	3
11	в конце концов	3	3
12	и в другом	2	2
13	за последнее время	2	2
14	на то что	4	2
15	чтобы понять что	2	2
16	и в том	2	2
17	вместе с тем	3	2
18	к вопросу о	3	2
19	в том случае	4	2
20	а следовательно и	2	2
21	на самом деле	6	2
22	того или иного	2	2
23	в этом случае	3	2
24	том случае если	3	2
25	только в том	2	2
