N	2gram	Voloshinov_1	VelikijI
1	и не	26	20
2	и в	19	16
3	то что	8	9
4	так как	2	9
5	еще не	4	8
6	в истории	3	8
7	и потому	5	7
8	а не	7	7
9	не есть	3	6
10	как бы	15	5
11	но и	8	5
12	все это	3	5
13	того что	3	5
14	и есть	3	4
15	что все	2	4
16	что он	2	4
17	в нем	10	4
18	как и	12	4
19	в котором	3	4
20	так и	11	4
21	что не	2	4
22	в этом	16	4
23	в ней	4	4
24	и все	5	4
25	в его	6	4
26	должна быть	2	3
27	что в	4	3
28	что во	2	3
29	в конце	5	3
30	ни в	2	3
31	в том	6	3
32	не в	5	3
33	тот же	4	3
34	к тому	2	3
35	во всех	7	3
36	никогда не	2	3
37	что и	2	3
38	жизни и	2	3
39	в своей	3	3
40	бы и	2	3
41	тому что	2	3
42	не было	3	3
43	лишь в	9	3
44	не имеет	3	3
45	хотя бы	5	3
46	и для	11	3
47	должно быть	2	3
48	от этого	2	3
49	все эти	7	3
50	нет ничего	3	3
51	в чем	2	3
52	но в	7	3
53	не могут	3	2
54	людей так	2	2
55	прежде всего	13	2
56	его к	2	2
57	том что	3	2
58	по которым	2	2
59	одна из	2	2
60	от него	2	2
61	они и	2	2
62	конечно не	5	2
63	для него	9	2
64	для них	2	2
65	того чтобы	5	2
66	и во	2	2
67	не только	8	2
68	нет и	4	2
69	не будет	4	2
70	нем нет	2	2
71	нет еще	2	2
72	тем что	2	2
73	мы не	6	2
74	а в	4	2
75	можно было	2	2
76	между тем	3	2
77	является в	3	2
78	могут быть	2	2
79	только в	9	2
80	и это	3	2
81	во всяком	5	2
