N	2gram	Tiupa_Anal_3	Russkaja
1	не может	2	22
2	и не	12	19
3	в том	9	17
4	в этом	14	17
5	и в	18	14
6	то что	2	13
7	таким образом	4	11
8	то же	3	11
9	точки зрения	3	11
10	же время	3	10
11	но и	13	10
12	в то	3	10
13	том что	12	9
14	не только	22	9
15	в себе	2	9
16	с точки	2	9
17	может быть	9	9
18	во всяком	2	9
19	прежде всего	5	8
20	отнюдь не	4	7
21	к тому	6	7
22	не будет	3	7
23	самом деле	2	7
24	в данном	4	7
25	о том	6	7
26	что он	4	6
27	и к	4	6
28	с тем	2	6
29	для него	6	6
30	для всех	2	6
31	всяком случае	2	6
32	если в	3	6
33	все это	3	6
34	в своем	4	6
35	и для	2	6
36	и на	4	5
37	или иной	5	5
38	при этом	11	5
39	было бы	3	5
40	он не	6	5
41	никогда не	5	5
42	в нем	2	5
43	во всех	2	5
44	а в	10	5
45	только в	2	5
46	между тем	5	5
47	но не	7	4
48	что в	9	4
49	в мире	5	4
50	как и	14	4
51	как бы	10	4
52	все же	4	4
53	себя в	4	4
54	вместе с	2	4
55	со стороны	9	4
56	в их	6	4
57	приводит к	4	4
58	путь к	3	4
59	не в	6	4
60	в этой	6	4
61	во всем	3	4
62	в его	7	4
63	и т.д	2	4
64	его в	3	4
65	именно в	3	3
66	в большинстве	2	3
67	из этих	3	3
68	в конце	5	3
69	с нею	2	3
70	о которых	2	3
71	да и	2	3
72	и как	4	3
73	то в	2	3
74	лишь в	5	3
75	что они	3	3
76	в качестве	12	3
77	еще не	6	3
78	несмотря на	2	3
79	в самом	5	3
80	той или	3	3
81	и потому	2	3
82	что и	5	3
83	не есть	4	3
84	все они	2	3
85	данном случае	3	3
86	только к	2	3
87	не было	3	3
88	сводится к	2	3
89	в значительной	2	3
90	и по	2	3
91	тем что	2	3
92	говорить о	3	3
93	одна из	2	3
94	сама по	2	2
95	в частности	12	2
96	были бы	3	2
97	и от	2	2
98	с этим	3	2
99	состоит в	4	2
100	совершенно очевидно	2	2
101	по себе	4	2
102	не должен	2	2
103	уже не	5	2
104	в борьбе	2	2
105	указывает на	3	2
106	совершенно не	2	2
107	видеть в	2	2
108	в ней	2	2
109	от своей	2	2
110	по отношению	7	2
111	тогда как	20	2
112	отношения к	2	2
113	все эти	2	2
114	и вот	2	2
115	тем самым	4	2
116	а не	9	2
117	и даже	8	2
118	в глазах	2	2
119	в результате	5	2
120	мы можем	2	2
121	на себя	2	2
122	с самим	2	2
123	в начале	6	2
124	по воле	3	2
125	на эту	2	2
126	но в	2	2
127	любви к	2	2
