N	2gram	Bakhtin_Pr_2	VrazhdaK
1	не только	16	9
2	достоевский в	5	8
3	в этом	20	8
4	и что	2	8
5	и в	45	8
6	достоевского в	4	7
7	но и	15	7
8	что в	6	7
9	достоевского и	2	7
10	то что	5	7
11	в котором	7	6
12	в нем	20	6
13	все же	4	6
14	и даже	3	6
15	в романе	3	6
16	как и	14	6
17	в начале	2	6
18	к достоевскому	3	6
19	но в	6	6
20	и с	7	6
21	о нем	6	6
22	то же	5	5
23	не было	2	5
24	и не	42	5
25	у него	6	5
26	об этом	3	5
27	в то	5	5
28	же время	3	5
29	уже в	4	4
30	у достоевского	14	4
31	как бы	15	4
32	все это	5	4
33	это не	3	4
34	достоевского не	8	4
35	что он	7	4
36	так же	5	4
37	с ним	8	4
38	х годов	2	4
39	в своих	4	4
40	может быть	18	4
41	при этом	2	4
42	в истории	2	4
43	о том	3	4
44	в ней	7	4
45	в виду	2	4
46	я не	6	3
47	с его	8	3
48	русской литературе	2	3
49	в своем	5	3
50	что у	4	3
51	сам достоевский	2	3
52	о себе	3	3
53	в конце	4	3
54	к этому	4	3
55	человека в	5	3
56	на то	2	3
57	и у	2	3
58	в том	8	3
59	и его	8	3
60	том что	7	3
61	и как	2	3
62	тем что	2	3
63	достоевский не	3	3
64	в его	22	3
65	далеко не	4	3
66	в русской	2	3
67	его в	3	3
68	из подполья	4	3
69	и о	2	3
70	в чем	2	3
71	одним из	3	3
72	он не	9	3
73	и т.п	6	2
74	его с	2	2
75	а с	3	2
76	он сам	6	2
77	в своей	6	2
78	из них	9	2
79	не менее	2	2
80	никогда не	17	2
81	его и	3	2
82	в них	4	2
83	человека с	2	2
84	как раз	6	2
85	не может	24	2
86	а в	3	2
87	отношения к	2	2
88	таким образом	11	2
89	рядом с	3	2
90	но это	2	2
91	в той	3	2
92	уже не	6	2
93	и он	3	2
94	роман достоевского	2	2
95	с точки	9	2
96	как же	2	2
97	на основе	2	2
98	же как	4	2
99	их в	7	2
100	в момент	3	2
101	но как	2	2
102	точки зрения	19	2
103	и ее	7	2
104	в себе	5	2
105	отношение к	8	2
106	для него	9	2
107	еще не	9	2
108	в мире	3	2
109	одна из	3	2
110	к ним	3	2
