N	2gram	Bakhtin_KF_1	Narrotol
1	не только	5	32
2	может быть	45	25
3	но и	9	23
4	в качестве	2	21
5	и не	26	20
6	и в	24	19
7	в том	6	18
8	в этом	14	17
9	том что	4	14
10	не в	12	14
11	а не	17	12
12	то что	7	11
13	а в	4	11
14	не может	27	10
15	точки зрения	12	10
16	при этом	4	9
17	со стороны	7	9
18	так и	2	9
19	в его	40	9
20	в мире	6	9
21	в себе	21	8
22	времени и	4	7
23	и т.д	2	7
24	как и	5	7
25	еще не	4	7
26	все же	5	7
27	как в	2	7
28	по отношению	26	7
29	что он	2	6
30	отношению к	22	6
31	но не	12	6
32	именно в	5	6
33	в себя	7	6
34	тем самым	4	6
35	о том	3	6
36	но в	5	6
37	и как	2	5
38	отнюдь не	6	5
39	по себе	2	5
40	или иной	2	5
41	себя в	8	5
42	уже не	7	5
43	к нему	12	5
44	и его	17	5
45	в данном	2	5
46	в основе	5	5
47	к себе	2	5
48	в этой	2	5
49	мира в	6	5
50	прежде всего	2	4
51	в нем	28	4
52	что не	3	4
53	то же	5	4
54	основе своей	2	4
55	но все	5	4
56	если не	2	4
57	же время	2	4
58	было бы	8	4
59	той или	3	4
60	как бы	9	4
61	о нем	4	4
62	и тем	3	4
63	хотя бы	4	4
64	из которых	2	4
65	в принципе	2	4
66	только в	16	4
67	здесь не	3	4
68	не менее	3	3
69	а с	2	3
70	жизни в	5	3
71	ни было	4	3
72	что в	4	3
73	могут быть	3	3
74	никогда не	5	3
75	в свою	3	3
76	тем не	2	3
77	ни в	12	3
78	это и	2	3
79	может не	2	3
80	к содержанию	2	3
81	в ней	3	3
82	он не	6	3
83	один из	2	3
84	не есть	20	3
85	с ее	2	3
86	не будет	2	3
87	бы то	2	3
88	жизни и	8	3
89	в ее	16	3
90	бытия в	5	3
91	то ни	2	3
92	сводится к	2	3
93	жизни как	5	3
94	то или	2	3
95	и на	3	3
96	между тем	4	3
97	тем что	3	3
98	не о	2	3
99	в то	3	3
100	бы быть	5	3
101	что это	3	3
102	как событие	3	3
103	дело с	2	2
104	включает в	2	2
105	отвлечении от	6	2
106	или иное	2	2
107	бы не	3	2
108	независимо от	3	2
109	должна быть	4	2
110	с человеком	3	2
111	себя и	2	2
112	в своем	16	2
113	оно не	2	2
114	та же	2	2
115	не как	4	2
116	или иного	3	2
117	ему в	2	2
118	а по	2	2
119	его как	5	2
120	всех его	2	2
121	имеют место	2	2
122	для него	8	2
123	в отвлечении	5	2
124	и когда	2	2
125	и потому	2	2
126	нет и	3	2
127	не имеет	5	2
128	его жизни	3	2
129	отношение к	5	2
130	во всей	4	2
131	ценностного центра	4	2
132	как к	2	2
133	и только	6	2
134	не было	8	2
135	все эти	10	2
136	совершенно не	6	2
137	самом деле	3	2
138	того или	3	2
139	и для	9	2
140	с точки	9	2
141	это не	10	2
142	вокруг него	2	2
143	всей его	2	2
144	всей своей	2	2
145	и ее	2	2
146	но как	5	2
147	говорить о	2	2
148	события в	3	2
149	этого слова	2	2
150	и все	7	2
151	жизни но	3	2
152	его в	5	2
153	событие в	5	2
154	мира и	4	2
155	ничего не	3	2
156	мы имеем	5	2
