N	2gram	Bakhtin_Fr_5	Problema
1	и не	15	28
2	то есть	25	27
3	не только	14	24
4	только в	4	23
5	вовсе не	8	21
6	в том	10	20
7	и в	45	20
8	ни в	3	17
9	все эти	5	16
10	то что	2	15
11	потому что	7	15
12	было бы	2	14
13	но и	10	14
14	точки зрения	4	14
15	перед нами	4	13
16	не в	7	13
17	также и	7	13
18	том что	7	12
19	прежде всего	10	11
20	с точки	2	11
21	не менее	3	10
22	в качестве	2	10
23	так и	6	10
24	и его	13	10
25	может быть	2	9
26	все это	7	9
27	и даже	4	9
28	в этом	14	9
29	что он	6	8
30	таким образом	8	8
31	и все	7	8
32	но в	14	8
33	это не	3	7
34	есть в	3	7
35	мы не	4	7
36	то же	11	7
37	именно в	3	7
38	а не	4	7
39	сказать что	4	7
40	и с	10	7
41	в ней	8	7
42	здесь не	6	7
43	хотя бы	2	7
44	об этом	4	6
45	всех этих	6	6
46	и без	2	6
47	и от	4	6
48	а также	4	6
49	как и	10	6
50	но это	5	6
51	по своему	4	6
52	при этом	2	6
53	в одно	2	6
54	в данном	2	6
55	и вообще	2	6
56	же самое	2	6
57	но не	4	5
58	на самом	5	5
59	хотя и	5	5
60	здесь перед	2	5
61	в нем	10	5
62	здесь в	4	5
63	можно сказать	2	5
64	и если	2	5
65	и о	4	5
66	жизни и	8	5
67	вместе с	3	5
68	данном случае	2	5
69	как в	3	5
70	так же	8	5
71	не может	5	5
72	в них	6	5
73	так как	6	5
74	если мы	2	5
75	о том	4	5
76	и ни	3	5
77	с тем	2	4
78	и есть	2	4
79	в отношении	2	4
80	и для	3	4
81	и во	4	4
82	в одном	3	4
83	в самой	8	4
84	это и	5	4
85	в этой	6	4
86	кроме того	4	4
87	одной из	5	4
88	несмотря на	2	4
89	в своей	3	4
90	что она	3	4
91	как бы	12	4
92	не имеет	3	4
93	и образ	3	4
94	во всех	13	4
95	и только	2	4
96	с этим	4	4
97	а в	4	4
98	и наконец	2	4
99	можно было	4	4
100	жизнь и	2	4
101	как раз	5	4
102	в то	11	4
103	здесь как	4	4
104	с ним	5	4
105	нет ни	2	4
106	в связи	5	3
107	к тому	2	3
108	уже и	2	3
109	независимо от	2	3
110	для всех	3	3
111	все они	4	3
112	вообще не	3	3
113	в условиях	2	3
114	и к	5	3
115	слова но	2	3
116	как мы	8	3
117	он был	7	3
118	для него	3	3
119	и как	5	3
120	в начале	2	3
121	связи с	6	3
122	в истории	2	3
123	конечно не	2	3
124	образы и	2	3
125	вплоть до	2	3
126	в его	13	3
127	здесь нет	3	3
128	но она	3	3
129	только для	2	3
130	что и	7	3
131	что в	12	3
132	в своем	11	3
133	не было	3	3
134	еще и	3	3
135	всякого рода	2	3
136	самом деле	5	3
137	для того	6	3
138	к нему	2	3
139	которая не	2	3
140	тут же	2	3
141	и на	5	3
142	чем же	4	3
143	в другом	3	3
144	самой жизни	2	3
145	как это	4	3
146	мы можем	2	3
147	эти образы	12	2
148	но они	3	2
149	в конце	7	2
150	на все	2	2
151	с его	7	2
152	нет и	2	2
153	тому же	4	2
154	они и	2	2
155	то время	3	2
156	для них	2	2
157	в пределах	2	2
158	но именно	2	2
159	со всеми	5	2
160	том как	2	2
161	этот путь	2	2
162	что это	2	2
163	в самом	4	2
164	между собою	4	2
165	он не	6	2
166	к ней	2	2
167	перестает быть	2	2
168	относится к	2	2
169	все же	2	2
170	с ее	5	2
171	не будем	2	2
172	а именно	2	2
173	и прежде	3	2
174	жизни в	2	2
175	по городу	2	2
176	и притом	2	2
177	на всех	2	2
178	мы находим	4	2
179	но эта	2	2
180	чтобы не	2	2
181	и что	2	2
182	того чтобы	6	2
183	и больше	2	2
184	и он	3	2
185	уже более	2	2
186	почти всегда	3	2
187	как они	3	2
188	в значительной	2	2
189	говорить о	2	2
190	во все	2	2
191	но этот	3	2
192	его в	5	2
193	и это	4	2
194	дело в	3	2
195	этих образов	7	2
196	весь мир	6	2
197	в чем	2	2
198	того же	3	2
199	это было	4	2
