N	2gram	Bakhtin_Pr_3	VelikijI
1	и не	15	20
2	и в	53	16
3	то что	9	9
4	так как	7	9
5	еще не	5	8
6	в истории	3	8
7	и потому	5	7
8	на земле	14	7
9	а не	11	7
10	человека и	7	6
11	бога и	2	5
12	в мире	5	5
13	хотя и	4	5
14	как бы	14	5
15	но и	7	5
16	все это	8	5
17	в образе	3	4
18	что он	4	4
19	в нем	10	4
20	как и	11	4
21	это еще	2	4
22	так и	6	4
23	потому что	5	4
24	в этом	8	4
25	в ней	7	4
26	говорить о	2	4
27	и все	10	4
28	в его	8	4
29	с его	2	3
30	что в	2	3
31	в этих	5	3
32	в них	2	3
33	в конце	3	3
34	в жизни	8	3
35	в том	14	3
36	не в	2	3
37	но это	3	3
38	что я	2	3
39	тот же	2	3
40	во всех	12	3
41	никогда не	2	3
42	что и	3	3
43	жизни и	9	3
44	в своей	3	3
45	не было	4	3
46	и они	2	3
47	хотя бы	2	3
48	и для	4	3
49	их в	2	3
50	все эти	9	3
51	нет ничего	2	3
52	но в	5	3
53	это не	6	2
54	в духе	8	2
55	прежде всего	15	2
56	под разными	3	2
57	да и	2	2
58	том что	5	2
59	мы и	2	2
60	одна из	7	2
61	от него	3	2
62	но не	5	2
63	они и	2	2
64	конечно не	4	2
65	ивана карамазова	4	2
66	уже на	2	2
67	и во	4	2
68	не только	4	2
69	один из	6	2
70	нем нет	3	2
71	ее в	3	2
72	в форме	6	2
73	истории и	2	2
74	все равно	4	2
75	тем что	2	2
76	в себя	6	2
77	мы не	4	2
78	а в	2	2
79	с ним	2	2
80	между тем	2	2
81	могут быть	4	2
82	только в	4	2
83	и это	3	2
84	которые не	2	2
85	а между	2	2
