N	2gram	Propp_Russ_1	Freidism
1	таким образом	6	24
2	и не	6	23
3	не может	4	20
4	точки зрения	3	19
5	и пр	2	15
6	в этом	12	15
7	в его	2	15
8	мы можем	2	13
9	может быть	8	13
10	как и	10	11
11	как бы	5	11
12	то что	6	11
13	все эти	2	11
14	с точки	3	11
15	и потому	2	10
16	так и	7	10
17	как мы	10	10
18	с ним	2	10
19	но в	2	10
20	и в	36	9
21	во всех	4	9
22	еще не	4	8
23	не только	22	8
24	все это	6	8
25	то же	3	8
26	только в	4	8
27	так как	15	8
28	один из	8	7
29	того что	4	6
30	в ней	2	6
31	и с	2	6
32	и к	3	5
33	в свою	3	5
34	для этого	2	5
35	в большинстве	2	5
36	что в	19	5
37	но и	16	5
38	на самом	2	5
39	а в	9	5
40	и на	10	5
41	могут быть	2	5
42	с этим	2	5
43	мы должны	2	5
44	большинстве случаев	2	5
45	не менее	3	4
46	но не	2	4
47	и др	4	4
48	в этих	3	4
49	из этих	4	4
50	в жизни	2	4
51	к тому	4	4
52	об этом	9	4
53	всех этих	2	4
54	на этом	3	4
55	связанные с	3	4
56	при этом	6	4
57	в нем	2	4
58	все же	5	4
59	не было	2	4
60	уже не	6	4
61	и для	2	4
62	мы не	6	4
63	с ними	5	4
64	этот вопрос	2	4
65	потому что	10	4
66	в более	2	4
67	во время	14	4
68	себя и	2	4
69	главным образом	2	3
70	тому что	4	3
71	в них	6	3
72	на себя	2	3
73	он был	2	3
74	на другие	2	3
75	и как	2	3
76	представления и	2	3
77	но это	4	3
78	она не	2	3
79	когда он	2	3
80	вместе с	10	3
81	приводит к	3	3
82	и те	3	3
83	как в	5	3
84	и что	4	3
85	свою очередь	2	3
86	на этот	3	3
87	и по	8	3
88	между двумя	2	3
89	мы имеем	4	3
90	такой же	2	3
91	у него	2	3
92	ничего общего	2	3
93	одна из	4	3
94	борьбы с	2	2
95	но все	3	2
96	и другие	13	2
97	что это	3	2
98	быть и	2	2
99	в нашем	2	2
100	его и	2	2
101	между собой	2	2
102	чаще всего	3	2
103	в какой	2	2
104	это не	10	2
105	к этому	4	2
106	не можем	3	2
107	тем не	3	2
108	для нас	6	2
109	до конца	2	2
110	в основном	3	2
111	том что	19	2
112	на этой	2	2
113	они и	2	2
114	в прошлом	2	2
115	а не	2	2
116	из них	8	2
117	не совсем	4	2
118	и всей	2	2
119	так называемый	2	2
120	в своем	3	2
121	в этот	10	2
122	и до	2	2
123	только для	2	2
124	как не	2	2
125	что она	2	2
126	также в	3	2
127	в их	4	2
128	только на	3	2
129	а с	4	2
130	выводу что	2	2
131	и у	5	2
132	так же	3	2
133	мы видим	2	2
134	их в	3	2
135	можно сделать	3	2
136	в своих	2	2
137	что и	7	2
138	в первый	4	2
139	как это	8	2
140	в области	3	2
141	и поэтому	2	2
