N	2gram	Propp_Russ_2	Problema
1	то что	5	42
2	и в	29	32
3	не менее	2	19
4	в этом	11	19
5	тем не	2	18
6	не только	10	17
7	потому что	5	16
8	а не	4	15
9	в виде	4	15
10	как бы	18	14
11	может быть	13	14
12	у нас	4	14
13	но в	5	14
14	что в	22	12
15	а именно	3	12
16	том что	22	12
17	и т	5	11
18	о том	9	11
19	так как	13	11
20	то же	4	10
21	прежде всего	2	10
22	в этой	3	10
23	т д	5	10
24	об этом	2	10
25	но не	5	9
26	в том	22	9
27	но и	8	9
28	и что	5	9
29	так же	4	9
30	еще не	6	9
31	того чтобы	6	9
32	в таком	4	9
33	в данном	6	9
34	данном случае	7	8
35	не может	5	8
36	все эти	3	8
37	и о	3	8
38	и на	6	8
39	когда мы	2	8
40	было бы	3	8
41	в своей	2	8
42	для того	6	8
43	и ее	2	8
44	никогда не	2	7
45	все это	10	7
46	того что	3	7
47	в них	4	7
48	и все	4	7
49	во всех	3	7
50	как мы	3	7
51	тем что	3	7
52	так что	4	6
53	и как	2	6
54	при этом	6	6
55	в виду	2	6
56	то и	4	6
57	таким образом	6	6
58	это не	5	6
59	и то	2	6
60	его в	8	6
61	как это	4	6
62	о чем	4	6
63	в то	2	6
64	совершенно не	2	6
65	на самом	2	6
66	для нас	6	5
67	есть в	2	5
68	в котором	3	5
69	что она	3	5
70	с тем	6	5
71	связи с	2	5
72	далеко не	4	5
73	в других	15	5
74	совсем не	2	4
75	именно в	4	4
76	не в	4	4
77	и пр	2	4
78	один из	2	4
79	после этого	2	4
80	в их	2	4
81	не было	2	4
82	или в	7	4
83	а в	9	4
84	их в	4	4
85	он есть	2	4
86	же в	6	4
87	а также	4	4
88	как в	7	4
89	и для	2	4
90	что это	3	3
91	в этих	3	3
92	с другой	2	3
93	а наоборот	3	3
94	из них	4	3
95	но она	2	3
96	для этого	5	3
97	этих случаях	4	3
98	в которых	4	3
99	с этим	2	3
100	но он	3	3
101	и еще	2	3
102	что здесь	3	3
103	по этому	2	3
104	в ее	3	3
105	как и	11	3
106	здесь в	2	3
107	говорит о	2	3
108	этому поводу	2	3
109	того как	2	3
110	уже не	4	3
111	к нему	4	3
112	можно было	2	3
113	пока еще	2	3
114	как оно	2	3
115	или на	8	3
116	же как	4	2
117	иное как	2	2
118	этом случае	6	2
119	в целях	2	2
120	нас не	2	2
121	кроме того	2	2
122	но если	3	2
123	в него	2	2
124	не имеет	3	2
125	должно быть	2	2
126	что для	3	2
127	во многих	9	2
128	и с	10	2
129	одно из	2	2
130	из этих	2	2
131	мы имеем	6	2
132	между тем	3	2
133	говорить что	2	2
134	для них	2	2
135	могут быть	2	2
136	сразу же	2	2
137	не что	2	2
138	на первый	3	2
139	человека а	2	2
140	по существу	4	2
141	и при	2	2
142	в качестве	3	2
143	она не	3	2
144	можно будет	2	2
145	или вообще	4	2
146	не будем	3	2
147	вместе с	6	2
148	ее в	8	2
149	мы здесь	2	2
150	мы не	6	2
151	в ряд	2	2
152	с другими	3	2
153	тому как	3	2
154	подобно тому	3	2
155	на себя	2	2
156	тем и	2	2
157	что иное	2	2
158	в таких	3	2
159	в которой	2	2
160	в эту	3	2
161	не можем	2	2
