N	3gram	Vinokur_Vv_1	Dialekti
1	и т д	37	15
2	по крайней мере	4	9
3	с точки зрения	2	8
4	сама по себе	3	7
5	в том что	12	6
6	то же время	5	4
7	о том что	12	4
8	с другой стороны	5	4
9	в связи с	2	4
10	как будто бы	2	3
11	может быть в	2	3
12	в самом деле	5	3
13	может быть и	2	3
14	в то же	5	3
15	вовсе не в	2	3
16	что иное как	4	3
17	можно сказать что	3	3
18	не что иное	4	3
19	не может быть	8	3
20	т е в	4	3
21	принять во внимание	2	3
22	в данном случае	4	2
23	не только в	4	2
24	то же самое	2	2
25	не могут быть	2	2
26	тем не менее	8	2
27	и т п	5	2
28	само по себе	3	2
29	не говоря уже	2	2
30	есть не что	2	2
31	в широком смысле	7	2
32	до сих пор	5	2
33	во всяком случае	3	2
34	что в нем	2	2
35	потому что он	2	2
36	так или иначе	4	2
