N	2gram	Tiupa_Hudo_1	PoTuStor
1	может быть	14	17
2	и в	19	16
3	прежде всего	4	9
4	таким образом	3	9
5	в этом	11	9
6	и его	12	8
7	точки зрения	10	8
8	не может	7	8
9	с его	6	7
10	сказать что	4	7
11	не только	16	7
12	и это	2	6
13	и к	3	6
14	с точки	3	6
15	для него	4	6
16	при этом	13	6
17	я и	7	6
18	отношение к	5	5
19	все эти	2	5
20	в чем	2	5
21	ни в	5	5
22	еще не	3	5
23	как бы	9	5
24	в нем	5	4
25	отнюдь не	2	4
26	но и	10	4
27	так и	11	4
28	все это	2	4
29	и не	15	4
30	и ее	3	4
31	можно сказать	5	4
32	и на	2	4
33	в этой	2	4
34	художественного творчества	4	4
35	с ее	5	4
36	только в	5	4
37	его в	2	4
38	но в	7	4
39	в его	9	4
40	в этих	3	3
41	что в	6	3
42	во всех	3	3
43	и др	2	3
44	могут быть	4	3
45	отношения к	2	3
46	в одном	2	3
47	этом смысле	3	3
48	и притом	3	3
49	в том	18	3
50	а в	12	3
51	том что	8	3
52	и как	3	3
53	с другими	4	3
54	с их	2	3
55	то что	4	3
56	их в	3	3
57	в основе	4	3
58	мира и	2	3
59	как это	5	3
60	в области	6	3
61	в конечном	5	3
62	и потому	2	3
63	между ними	4	3
64	не менее	3	2
65	ее в	2	2
66	один из	2	2
67	что и	2	2
68	в душе	8	2
69	не будет	2	2
70	конечном счете	5	2
71	в частности	13	2
72	никогда не	2	2
73	между собой	2	2
74	в них	2	2
75	если мы	2	2
76	того же	2	2
77	во всей	3	2
78	из этих	3	2
79	в жизни	2	2
80	то же	10	2
81	не знает	3	2
82	в итоге	2	2
83	сводится к	7	2
84	что он	3	2
85	в одно	2	2
86	и т.п	4	2
87	и по	2	2
88	и для	2	2
89	как и	2	2
90	на основе	2	2
91	своей жизни	2	2
92	так же	2	2
93	есть в	2	2
94	по своему	2	2
95	не на	3	2
96	а на	5	2
97	он не	4	2
98	в каком	2	2
99	что можно	3	2
100	говорить о	3	2
101	в пределах	3	2
102	о том	2	2
103	из тех	2	2
104	в самом	5	2
105	но как	2	2
106	за пределы	2	2
107	в своей	5	2
108	и о	3	2
109	с ним	2	2
110	для меня	2	2
111	себя и	2	2
