N	2gram	Bakhtin_fo_2	TeoriaLi
1	в мире	4	24
2	не только	11	18
3	в качестве	3	17
4	и не	9	16
5	а в	3	14
6	в частности	5	13
7	и в	46	13
8	может быть	7	12
9	так и	7	12
10	то есть	10	12
11	при этом	6	11
12	в этом	22	11
13	в том	10	11
14	но не	5	10
15	а не	4	10
16	и его	12	10
17	в его	8	9
18	то же	8	9
19	что в	5	8
20	но и	9	8
21	в себе	4	7
22	том что	4	7
23	в данном	2	7
24	точки зрения	10	7
25	в то	5	7
26	только в	11	7
27	как это	2	7
28	место в	4	6
29	же время	4	6
30	еще не	6	6
31	картина мира	2	6
32	лишь в	2	6
33	как бы	10	6
34	но в	10	6
35	в своем	5	5
36	или иной	2	5
37	а также	3	5
38	как и	8	5
39	не в	9	5
40	в пределах	5	5
41	между ними	2	5
42	в нем	5	5
43	как в	4	5
44	он не	5	5
45	уже не	3	5
46	жизни как	2	5
47	с другой	2	5
48	мы имеем	2	5
49	можно сказать	2	4
50	то что	7	4
51	отношение к	3	4
52	в форме	3	4
53	в их	3	4
54	и т.п	2	4
55	не может	2	4
56	хотя и	3	4
57	но он	2	4
58	говорить о	2	4
59	не знает	2	4
60	мира и	9	4
61	и др	5	3
62	никогда не	6	3
63	в этих	3	3
64	в отношении	2	3
65	прежде всего	14	3
66	и к	2	3
67	по своему	2	3
68	для него	3	3
69	того что	3	3
70	и потому	2	3
71	картины мира	2	3
72	во времени	3	3
73	таким образом	3	3
74	именно в	2	3
75	мира в	3	3
76	в другом	3	3
77	и вот	2	3
78	и по	3	3
79	потому что	8	3
80	в основе	6	3
81	в этой	2	3
82	его в	6	3
83	все эти	5	3
84	в эпизоде	7	3
85	о чем	3	2
86	могут быть	2	2
87	себя и	3	2
88	в конце	2	2
89	жизни в	4	2
90	того же	3	2
91	в аспекте	2	2
92	это не	2	2
93	вовсе не	13	2
94	по себе	2	2
95	в литературе	2	2
96	что он	3	2
97	к тому	3	2
98	и как	3	2
99	что они	4	2
100	а на	2	2
101	в большинстве	3	2
102	имеет место	3	2
103	этом мире	6	2
104	здесь мы	3	2
105	в виду	3	2
106	времени в	7	2
107	принадлежит к	2	2
108	во всех	11	2
109	вместе с	9	2
110	человеческой жизни	4	2
111	не на	3	2
112	здесь не	2	2
113	в романе	13	2
114	и для	9	2
115	с одной	2	2
116	в себя	2	2
117	в той	2	2
118	и о	2	2
119	с точки	8	2
120	и даже	3	2
121	так же	2	2
122	роль в	3	2
123	их в	4	2
124	автора и	2	2
125	у него	9	2
126	самим собою	2	2
127	о том	4	2
128	жизни но	2	2
129	и это	2	2
130	отношения к	4	2
131	мире и	2	2
