N	3gram	Savitsky_E_1	Myshleni
1	для того чтобы	5	14
2	в том что	6	11
3	с точки зрения	16	9
4	так же как	5	7
5	в известном смысле	3	7
6	друг с другом	3	7
7	по сравнению с	2	5
8	можно сказать что	3	5
9	в этом отношении	3	5
10	заключается в том	2	5
11	с этой точки	5	4
12	друг от друга	2	4
13	из того что	2	4
14	этой точки зрения	5	4
15	к тому чтобы	2	4
16	с одной стороны	8	3
17	можно было бы	3	3
18	в свою очередь	2	3
19	не может быть	2	3
20	само по себе	4	2
21	с другой стороны	2	2
22	приводит нас к	2	2
23	и в частности	2	2
24	как мы видели	2	2
25	хотя бы в	2	2
