N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	41
2	таким образом	11	19
3	в этом	7	15
4	и все	3	14
5	как и	6	14
6	в этой	3	13
7	то же	3	13
8	все эти	5	13
9	в его	2	12
10	прежде всего	5	11
11	в том	4	11
12	как мы	2	11
13	в себе	3	11
14	все это	3	10
15	не в	3	9
16	что в	2	9
17	в конце	3	8
18	но в	3	8
19	как бы	4	7
20	в нем	3	7
21	и не	6	7
22	у него	2	6
23	это не	4	6
24	мы видим	2	6
25	с помощью	4	6
26	уже в	3	5
27	не только	4	5
28	и к	3	5
29	на этом	2	5
30	вместе с	4	5
31	мы видели	4	5
32	а в	4	5
33	точки зрения	12	5
34	что это	2	4
35	из одного	2	4
36	но все	2	4
37	одна из	3	4
38	было бы	3	4
39	может быть	12	4
40	на этой	3	4
41	и наконец	5	4
42	ничего не	6	4
43	и есть	2	3
44	в одном	3	3
45	и потому	3	3
46	он может	3	3
47	такой же	2	3
48	свою очередь	2	3
49	в свою	2	3
50	при этом	3	3
51	из них	4	3
52	жизни и	4	3
53	не может	17	3
54	с точки	5	3
55	и по	2	3
56	той же	2	3
57	не подлежит	3	3
58	так сказать	2	3
59	так как	4	3
60	что все	2	2
61	а на	2	2
62	и во	2	2
63	с этим	2	2
64	тот же	2	2
65	еще не	3	2
66	со всеми	2	2
67	в новых	2	2
68	все те	2	2
69	на другом	2	2
70	не знаем	2	2
71	еще более	2	2
72	а не	3	2
73	с самого	3	2
74	из которых	2	2
75	уже не	2	2
76	роль в	2	2
77	мы не	9	2
78	в результате	6	2
79	их в	4	2
80	во всяком	2	2
81	может иметь	2	2
82	которой он	2	2
83	и т.д	3	2
84	как он	3	2
85	в которой	2	2
86	в области	3	2
