N	2gram	Berdyaev_V_1	EvropaiC
1	в том	3	31
2	и в	16	24
3	том что	2	20
4	все эти	3	19
5	то что	9	17
6	в этом	4	12
7	все это	5	11
8	между тем	2	11
9	как бы	5	10
10	все что	4	10
11	во всех	3	10
12	так и	4	10
13	как и	4	9
14	что в	3	9
15	не в	3	8
16	и все	4	8
17	к тому	3	7
18	но и	5	7
19	и не	20	7
20	и что	3	7
21	что он	4	7
22	того чтобы	2	7
23	а между	2	7
24	должна быть	3	6
25	того что	5	6
26	так как	9	6
27	с ним	2	6
28	еще не	8	6
29	что и	3	6
30	в мире	5	6
31	только в	2	6
32	что все	4	5
33	потому что	4	5
34	но в	3	5
35	в его	4	5
36	не только	2	5
37	не будет	2	5
38	и для	3	5
39	лишь в	3	5
40	не могут	2	4
41	никогда не	3	4
42	самого себя	2	4
43	в конце	3	4
44	хотя и	5	4
45	не так	2	4
46	должно быть	3	4
47	и то	2	4
48	не есть	6	4
49	а с	2	4
50	хотя бы	3	4
51	что их	2	3
52	в этих	3	3
53	ее и	2	3
54	для нас	2	3
55	в нем	4	3
56	а в	2	3
57	это не	2	3
58	во имя	32	3
59	в истории	8	3
60	что мы	4	3
61	и потому	7	3
62	с тем	2	3
63	прежде всего	2	3
64	на нас	2	3
65	в жизни	3	3
66	от него	2	3
67	тот же	3	3
68	конечно не	2	3
69	на земле	7	3
70	которые не	2	3
71	и это	2	3
72	тому что	3	2
73	для него	2	2
74	мы и	2	2
75	что они	7	2
76	и сам	2	2
77	в ней	4	2
78	основанную на	2	2
79	в котором	4	2
80	на том	2	2
81	вопросе о	2	2
82	ценности и	2	2
83	и будет	3	2
84	от своей	2	2
85	говорить о	4	2
86	не было	3	2
87	во всяком	2	2
88	давно уже	2	2
89	в них	3	2
90	а к	2	2
91	в вопросе	3	2
92	одна из	2	2
93	но не	2	2
94	жизни и	3	2
95	как не	3	2
96	в себя	2	2
