N	2gram	Nazirov_Tr_1	Myshleni
1	то что	4	26
2	что он	6	25
3	в этом	9	25
4	потому что	2	21
5	в том	2	18
6	не может	5	18
7	что в	4	16
8	и в	18	16
9	не только	8	16
10	так же	4	15
11	том что	4	15
12	вопрос о	2	12
13	в ходе	2	12
14	и не	7	12
15	и что	4	12
16	отношение к	2	11
17	в его	3	11
18	может быть	7	9
19	должно быть	3	8
20	о том	2	8
21	как это	3	8
22	как и	5	8
23	он не	2	8
24	то же	5	8
25	тем самым	3	8
26	в нем	4	7
27	так и	5	7
28	что все	2	6
29	не в	2	6
30	в этой	4	6
31	но и	4	6
32	и на	7	6
33	но в	6	6
34	у него	6	6
35	к тому	2	6
36	никогда не	2	5
37	в своем	3	5
38	что с	3	5
39	для него	3	5
40	как бы	7	5
41	ребенка в	2	5
42	в то	5	5
43	с ним	3	5
44	как в	3	5
45	говорит что	2	5
46	тем что	2	5
47	ничего не	2	5
48	не могут	2	4
49	все эти	3	4
50	это не	5	4
51	так что	2	4
52	при этом	3	4
53	в самом	2	4
54	в целом	4	4
55	не имеет	2	4
56	ребенка и	2	4
57	еще не	4	4
58	и то	2	4
59	в частности	2	3
60	прежде всего	4	3
61	в известной	2	3
62	и как	3	3
63	но это	4	3
64	до конца	2	3
65	к нему	3	3
66	и с	7	3
67	в первом	2	3
68	к жизни	5	3
69	с тем	2	3
70	в одном	2	3
71	все же	5	3
72	еще в	2	3
73	что и	2	3
74	говорит о	2	3
75	и его	6	3
76	я не	4	2
77	на всем	2	2
78	столь же	2	2
79	но все	2	2
80	по поводу	2	2
81	в отличие	2	2
82	что она	2	2
83	все это	4	2
84	то и	2	2
85	и даже	4	2
86	и здесь	2	2
87	что эти	2	2
88	но они	2	2
89	о чем	3	2
90	но при	2	2
91	его в	2	2
92	отличие от	2	2
93	что я	4	2
94	чем он	2	2
95	никто не	3	2
96	только к	2	2
97	как будто	3	2
98	этими двумя	2	2
99	знает что	2	2
