N	3gram	Vygotskiy__4	StatiiOP
1	в том что	12	16
2	о том что	10	11
3	и т д	2	6
4	к тому что	5	5
5	том что он	3	5
6	до сих пор	3	5
7	вместе с тем	2	5
8	для того чтобы	19	5
9	в своей трагедии	2	4
10	что он не	4	4
11	с самого начала	5	3
12	с другой стороны	2	3
13	так же как	3	3
14	во всяком случае	3	3
15	речь идет о	2	3
16	и т п	3	3
17	то что в	3	2
18	сами по себе	3	2
19	то что он	3	2
20	в самом деле	7	2
21	и в этом	3	2
22	в это время	2	2
23	к тому же	2	2
24	за то что	3	2
25	на то что	6	2
26	с точки зрения	4	2
27	как раз в	4	2
28	не только не	2	2
29	только что в	2	2
