N	2gram	Potebnia_M_1	Poddanst
1	не только	21	17
2	и в	39	14
3	и не	18	12
4	в этом	15	10
5	то же	6	9
6	в том	26	9
7	но в	9	9
8	хотя бы	2	8
9	же время	4	7
10	в то	4	7
11	только в	25	7
12	но и	20	6
13	в ней	7	6
14	в смысле	4	6
15	было бы	12	6
16	с другой	7	5
17	не в	15	5
18	и о	2	5
19	может быть	27	5
20	же в	2	4
21	то что	10	4
22	что в	22	4
23	если бы	14	4
24	в своем	3	4
25	не может	22	4
26	по себе	10	4
27	а в	5	4
28	том что	16	4
29	мы должны	3	4
30	и если	2	4
31	как бы	6	4
32	и потому	5	4
33	в нем	20	3
34	и т	6	3
35	с тем	5	3
36	в сравнении	3	3
37	и без	3	3
38	столь же	3	3
39	это не	7	3
40	с одной	3	3
41	прежде всего	4	3
42	заключается в	3	3
43	тем самым	4	3
44	для того	3	3
45	с точки	3	3
46	мы не	10	3
47	сравнении с	2	3
48	и как	6	3
49	между тем	5	3
50	но не	8	3
51	могут быть	9	3
52	точки зрения	8	3
53	в себе	13	3
54	что мы	4	3
55	одной стороны	3	3
56	потому что	52	3
57	хотя и	3	3
58	не менее	6	2
59	и тем	3	2
60	в мире	3	2
61	для них	2	2
62	и есть	2	2
63	во всех	5	2
64	друг другу	3	2
65	тем более	2	2
66	со стороны	8	2
67	заключает в	2	2
68	в них	3	2
69	есть нечто	4	2
70	с этим	7	2
71	в жизни	3	2
72	между прочим	2	2
73	еще более	2	2
74	думать что	3	2
75	и других	4	2
76	стороны и	2	2
77	а не	21	2
78	бы ни	4	2
79	того что	8	2
80	слова но	2	2
81	должно быть	7	2
82	для нас	9	2
83	как на	3	2
84	духа и	7	2
85	есть не	2	2
86	есть в	2	2
87	не было	4	2
88	в начале	2	2
89	нужно было	3	2
90	и это	3	2
91	мысль о	2	2
92	никак не	2	2
93	в его	5	2
94	и с	3	2
95	помнить что	3	2
