N	2gram	Propp_Russ_2	Morfolog
1	может быть	13	52
2	и т	5	49
3	т д	5	47
4	и пр	2	40
5	таким образом	6	20
6	представляет собой	2	17
7	не может	5	17
8	т е	24	16
9	в этих	3	16
10	могут быть	2	15
11	с этим	2	14
12	этих случаях	4	14
13	и в	29	13
14	в этом	11	13
15	так как	13	12
16	связи с	2	11
17	представляют собой	7	10
18	заметить что	2	10
19	прежде всего	2	9
20	не всегда	3	9
21	этом случае	6	9
22	то же	4	9
23	а не	4	9
24	мы имеем	6	9
25	с другой	2	8
26	а затем	4	8
27	по существу	4	8
28	что и	2	8
29	вопрос о	4	7
30	в качестве	3	7
31	в лес	3	7
32	но если	3	7
33	все же	2	7
34	или же	5	7
35	это не	5	6
36	в том	22	6
37	но не	5	6
38	а также	4	6
39	в форме	2	6
40	а в	9	6
41	во время	12	6
42	подобно тому	3	6
43	не менее	2	5
44	тому как	3	5
45	и другие	14	5
46	в образе	2	5
47	в поле	19	5
48	во всех	3	5
49	далеко не	4	5
50	как бы	18	5
51	не все	4	5
52	один из	2	5
53	то что	5	5
54	сюда же	2	5
55	или в	7	5
56	потому что	5	5
57	мы не	6	5
58	что в	22	4
59	и как	2	4
60	об этом	2	4
61	тем не	2	4
62	было бы	3	4
63	не только	10	4
64	в некоторых	9	4
65	как в	7	4
66	как мы	3	4
67	так же	4	4
68	как и	11	4
69	там где	2	4
70	следующим образом	5	4
71	тем что	3	4
72	видно что	2	4
73	на этом	3	4
74	его в	8	4
75	в других	15	4
76	между собой	2	3
77	их по	3	3
78	же в	6	3
79	том что	22	3
80	кроме того	2	3
81	того чтобы	6	3
82	но и	8	3
83	отправляется в	2	3
84	для этой	3	3
85	на самом	2	3
86	из которых	2	3
87	и по	3	3
88	к нему	4	3
89	и для	2	3
90	друг друга	3	3
91	из них	4	3
92	в руки	2	3
93	и ее	2	3
94	в то	2	3
95	рассматриваться как	2	3
96	но в	5	3
97	если она	2	2
98	совсем не	2	2
99	с тем	6	2
100	ниже в	2	2
101	в лесу	10	2
102	в виде	4	2
103	на берег	2	2
104	оно как	2	2
105	та же	2	2
106	сразу же	2	2
107	состоит в	15	2
108	к этому	5	2
109	как уже	2	2
110	на первый	3	2
111	или с	3	2
112	не с	2	2
113	и при	2	2
114	вывод что	2	2
115	а на	9	2
116	тем и	2	2
117	то время	2	2
118	одной стороны	2	2
119	или на	8	2
120	в таких	3	2
121	или просто	2	2
122	как например	3	2
123	а а	8	2
124	а с	2	2
125	с одной	2	2
126	все эти	3	2
127	и что	5	2
128	того что	3	2
129	для того	6	2
130	уже не	4	2
131	не имеет	3	2
132	после чего	2	2
133	право на	2	2
134	можно было	2	2
135	этот вопрос	2	2
136	о том	9	2
137	одна из	11	2
138	как это	4	2
