N	2gram	Potebnia_M_3	Analitik
1	не только	21	22
2	тогда как	2	20
3	и в	30	18
4	как и	10	14
5	так и	11	14
6	в этом	10	14
7	но и	19	13
8	и его	4	13
9	том что	18	12
10	и не	15	12
11	при этом	3	11
12	а в	12	10
13	как бы	3	10
14	то есть	34	10
15	может быть	28	9
16	со стороны	3	9
17	что в	17	9
18	а не	15	9
19	в том	32	9
20	со своей	2	8
21	и даже	2	8
22	с другой	7	7
23	но не	7	7
24	в его	4	7
25	отношению к	5	7
26	по отношению	5	7
27	к тому	7	6
28	не в	15	6
29	в начале	3	6
30	для него	9	6
31	еще не	5	6
32	в этой	2	6
33	он не	4	6
34	в их	2	6
35	о том	2	6
36	прежде всего	3	5
37	в свою	3	5
38	в самом	8	5
39	что и	13	5
40	другой стороны	4	5
41	уже не	6	5
42	той же	2	5
43	в слове	32	5
44	между тем	9	5
45	не менее	5	4
46	перед нами	2	4
47	в своем	5	4
48	столь же	4	4
49	по крайней	5	4
50	в одном	2	4
51	по себе	16	4
52	что он	6	4
53	можно сказать	3	4
54	и как	5	4
55	свою очередь	3	4
56	не есть	17	4
57	крайней мере	5	4
58	все же	2	4
59	а и	4	4
60	таким образом	14	4
61	тем самым	7	4
62	и на	3	4
63	далеко не	4	4
64	что по	2	4
65	уже в	5	3
66	в каждом	3	3
67	и без	7	3
68	не столько	2	3
69	из этих	9	3
70	к этому	3	3
71	не всегда	2	3
72	в ее	2	3
73	что они	2	3
74	было бы	9	3
75	же время	5	3
76	указывает на	6	3
77	только не	2	3
78	по поводу	4	3
79	мысль о	5	3
80	к содержанию	3	3
81	не будет	3	3
82	в целом	3	3
83	как в	10	3
84	все это	4	3
85	так в	2	3
86	то же	23	3
87	не было	4	3
88	этом отношении	2	3
89	именно в	3	3
90	что не	8	3
91	мы не	9	3
92	с этим	6	3
93	точки зрения	2	3
94	подобно тому	2	3
95	но как	2	3
96	говорить о	3	3
97	в то	10	3
98	его в	3	3
99	в произведении	3	3
100	ответ на	3	3
101	я и	3	3
102	сама по	2	2
103	произведении искусства	4	2
104	могут быть	3	2
105	в них	5	2
106	не как	2	2
107	и от	4	2
108	с нею	2	2
109	в нем	9	2
110	есть не	7	2
111	несмотря на	2	2
112	тем не	3	2
113	же в	2	2
114	состоит не	3	2
115	с тем	7	2
116	по своему	2	2
117	очевидно что	5	2
118	одной стороны	3	2
119	это и	2	2
120	например в	6	2
121	на его	2	2
122	и той	2	2
123	в ней	8	2
124	об этом	2	2
125	и потому	4	2
126	даже в	2	2
127	один из	4	2
128	нам кажется	2	2
129	то что	18	2
130	в первом	3	2
131	вместе с	12	2
132	что она	3	2
133	связь с	3	2
134	в форме	2	2
135	не может	6	2
136	входит в	2	2
137	не могла	2	2
138	и каждое	2	2
139	с одной	7	2
140	те же	6	2
141	одной и	4	2
142	самом деле	2	2
143	и по	4	2
144	тому как	5	2
145	сказать что	5	2
146	мы можем	3	2
147	тем что	7	2
148	а напротив	2	2
149	в себе	16	2
150	в искусстве	3	2
151	могла бы	2	2
152	что мы	8	2
153	только в	21	2
154	указание на	2	2
155	этого слова	11	2
156	и все	3	2
157	в свое	2	2
158	так сказать	2	2
159	там где	3	2
160	когда мы	2	2
161	и следует	2	2
162	в новом	2	2
