N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	41
2	во всех	11	17
3	в нем	28	16
4	и его	17	13
5	но и	9	13
6	в этом	14	12
7	все это	10	11
8	все эти	10	11
9	прежде всего	2	10
10	не только	5	10
11	то что	7	10
12	и на	3	9
13	и все	7	9
14	о том	3	9
15	никогда не	5	8
16	в этой	2	8
17	но в	5	8
18	вовсе не	7	7
19	том что	4	7
20	как бы	9	7
21	как и	5	7
22	что в	4	7
23	в его	40	7
24	что он	2	6
25	один из	2	6
26	в то	3	6
27	то же	5	5
28	в одном	4	5
29	в ее	16	5
30	же время	2	5
31	так и	2	5
32	в своем	16	5
33	рядом с	3	5
34	тем что	3	5
35	в себе	21	5
36	во всем	7	5
37	там где	5	5
38	что это	3	5
39	та же	2	4
40	именно в	5	4
41	и как	2	4
42	не в	12	4
43	всех его	2	4
44	в ней	3	4
45	в котором	24	4
46	все же	5	4
47	не может	27	4
48	как в	2	4
49	самом деле	3	4
50	именно на	2	4
51	того чтобы	2	4
52	а в	4	4
53	в основе	5	4
54	в другом	3	4
55	с ним	5	4
56	котором мы	3	3
57	но это	6	3
58	было бы	8	3
59	конечно не	7	3
60	и их	6	3
61	в него	2	3
62	жизни и	8	3
63	не остается	2	3
64	и для	9	3
65	при этом	4	3
66	и не	26	3
67	того что	3	3
68	что не	3	3
69	к нему	12	3
70	в данном	2	3
71	людей и	2	3
72	только в	16	3
73	только с	3	3
74	весь мир	2	3
75	в чем	4	3
76	потому что	2	3
77	времени и	4	2
78	всех этих	3	2
79	это уже	2	2
80	для этого	2	2
81	где этот	2	2
82	конечно в	2	2
83	в корне	2	2
84	для нас	4	2
85	в том	6	2
86	было и	2	2
87	как его	4	2
88	это и	2	2
89	от него	3	2
90	но не	12	2
91	есть именно	2	2
92	должна быть	4	2
93	до конца	3	2
94	со всеми	2	2
95	кажется что	2	2
96	знать что	2	2
97	может быть	45	2
98	в своей	10	2
99	он не	6	2
100	и когда	2	2
101	и потому	2	2
102	был бы	3	2
103	должен быть	7	2
104	себя в	8	2
105	еще более	2	2
106	но эта	5	2
107	лишь в	8	2
108	а не	17	2
109	с точки	9	2
110	мы не	3	2
111	к себе	2	2
112	и то	2	2
113	между тем	4	2
114	точки зрения	12	2
115	говорить о	2	2
116	и этим	3	2
117	но здесь	3	2
118	но конечно	3	2
119	мира и	4	2
120	в области	2	2
121	тогда когда	3	2
122	это было	2	2
123	мира в	6	2
124	а для	2	2
